sessionId,eventId,eventStartDate,seriesId,seasonYear,trackId,trackName,country,status,canonicalLaps,personalLaps,lengthMi,personalMiles,confidenceClass,sourceGrain,metricGrain,attributionMethod,sourceRef
session_formula_ford_2020_national_brands_hatch_race_11,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,18,18,1.208,21.744,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_11_classification;source_formula_ford_2020_national_brands_hatch_race_11_grid
session_formula_ford_2020_national_brands_hatch_race_18,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,18,18,1.208,21.744,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_18_classification;source_formula_ford_2020_national_brands_hatch_race_18_grid
session_formula_ford_2020_national_silverstone_race_3,event_formula_ford_2020_national_silverstone,2020-10-10,series_formula_ford,2020,track_silverstone_international,Silverstone Circuit,United Kingdom,running,12,12,1.8508,22.210,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_silverstone_race_3_classification;source_formula_ford_2020_national_silverstone_race_3_grid
session_formula_ford_2020_national_silverstone_race_7,event_formula_ford_2020_national_silverstone,2020-10-10,series_formula_ford,2020,track_silverstone_international,Silverstone Circuit,United Kingdom,running,11,11,1.8508,20.359,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_national_silverstone_race_7_classification;source_formula_ford_2020_national_silverstone_race_7_grid
session_formula_ford_2020_festival_semi_final_1_race_13,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,15,15,1.208,18.120,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_festival_semi_final_1_race_13_classification;source_formula_ford_2020_festival_semi_final_1_race_13_grid
session_formula_ford_2020_festival_grand_final_race_21,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,2020,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,running,20,20,1.208,24.160,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_festival_grand_final_race_21_classification;source_formula_ford_2020_festival_grand_final_race_21_grid
session_formula_ford_2020_wht_semi_final_2,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,2020,track_silverstone_national,Silverstone Circuit,United Kingdom,running,12,12,1.64,19.680,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_wht_semi_final_2_classification;source_formula_ford_2020_wht_semi_final_2_grid
session_formula_ford_2020_wht_grand_final,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,2020,track_silverstone_national,Silverstone Circuit,United Kingdom,running,5,5,1.64,8.200,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_formula_ford_2020_wht_grand_final_classification;source_formula_ford_2020_wht_grand_final_grid
session_gb3_2021_212005_race_1_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,2021,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,12,12,2.433,29.196,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212005_rc1_bf3_pdf;source_gb3_2021_212005_grd_bf3_pdf
session_gb3_2021_212005_race_2_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,2021,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,10,10,2.433,24.330,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212005_rc2_bf3_pdf;source_gb3_2021_212005_gr2_bf3_pdf
session_gb3_2021_212005_race_3_result,event_gb3_2021_r1_brands_hatch,2021-05-22,series_gb3,2021,track_brands_hatch_gp,Brands Hatch Circuit,United Kingdom,running,12,12,2.433,29.196,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212005_rc3_bf3_pdf;source_gb3_2021_212005_gr3_bf3_pdf
session_gb3_2021_212505_race_2_result,event_gb3_2021_r2_silverstone,2021-06-26,series_gb3,2021,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212505_rc2_bf3_pdf;source_gb3_2021_212505_gr2_bf3_pdf
session_gb3_2021_212505_race_1_result,event_gb3_2021_r2_silverstone,2021-06-26,series_gb3,2021,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212505_rc1_bf3_pdf;source_gb3_2021_212505_grd_bf3_pdf
session_gb3_2021_212705_race_1_result,event_gb3_2021_r3_donington_park,2021-07-10,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212705_rc1_bf3_pdf;source_gb3_2021_212705_grd_bf3_pdf
session_gb3_2021_212705_race_2_result,event_gb3_2021_r3_donington_park,2021-07-10,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212705_rc2_bf3_pdf;source_gb3_2021_212705_gr2_bf3_pdf
session_gb3_2021_212705_race_3_result,event_gb3_2021_r3_donington_park,2021-07-10,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212705_rc3_bf3_pdf;source_gb3_2021_212705_gr3_bf3_pdf
session_gb3_2021_212905_race_1_result,event_gb3_2021_r4_spa_francorchamps,2021-07-24,series_gb3,2021,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,8,8,4.352,34.816,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212905_rc1_bf3_pdf;source_gb3_2021_212905_grd_bf3_pdf
session_gb3_2021_212905_race_2_result,event_gb3_2021_r4_spa_francorchamps,2021-07-24,series_gb3,2021,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,9,9,4.352,39.168,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212905_rc2_bf3_pdf;source_gb3_2021_212905_gr2_bf3_pdf
session_gb3_2021_212905_race_3_result,event_gb3_2021_r4_spa_francorchamps,2021-07-24,series_gb3,2021,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,9,9,4.352,39.168,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_212905_rc3_bf3_pdf;source_gb3_2021_212905_gr3_bf3_pdf
session_gb3_2021_213105_race_1_result,event_gb3_2021_r5_snetterton,2021-08-07,series_gb3,2021,track_snetterton_300,Snetterton Circuit,United Kingdom,running,10,10,2.969,29.690,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213105_rc1_bf3_pdf;source_gb3_2021_213105_grd_bf3_pdf
session_gb3_2021_213105_race_2_result,event_gb3_2021_r5_snetterton,2021-08-07,series_gb3,2021,track_snetterton_300,Snetterton Circuit,United Kingdom,running,10,10,2.969,29.690,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213105_rc2_bf3_pdf;source_gb3_2021_213105_gr2_bf3_pdf
session_gb3_2021_213105_race_3_result,event_gb3_2021_r5_snetterton,2021-08-07,series_gb3,2021,track_snetterton_300,Snetterton Circuit,United Kingdom,running,10,10,2.969,29.690,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213105_rc3_bf3_pdf;source_gb3_2021_213105_gr3_bf3_pdf
session_gb3_2021_213605_race_1_result,event_gb3_2021_r6_oulton_park,2021-09-11,series_gb3,2021,track_oulton_park_international,Oulton Park,United Kingdom,running,13,13,2.692,34.996,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213605_rc1_bf3_pdf;source_gb3_2021_213605_grd_bf3_pdf
session_gb3_2021_213605_race_2_result,event_gb3_2021_r6_oulton_park,2021-09-11,series_gb3,2021,track_oulton_park_international,Oulton Park,United Kingdom,running,10,10,2.692,26.920,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213605_rc2_bf3_pdf;source_gb3_2021_213605_gr2_bf3_pdf
session_gb3_2021_213605_race_3_result,event_gb3_2021_r6_oulton_park,2021-09-11,series_gb3,2021,track_oulton_park_international,Oulton Park,United Kingdom,running,12,12,2.692,32.304,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_213605_rc3_bf3_pdf;source_gb3_2021_213605_gr3_bf3_pdf
session_gb3_2021_214105_race_1_result,event_gb3_2021_r7_donington_park,2021-10-16,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_214105_rc1_bf3_pdf;source_gb3_2021_214105_grd_bf3_pdf
session_gb3_2021_214105_race_2_result,event_gb3_2021_r7_donington_park,2021-10-16,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,11,11,2.498,27.478,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_214105_rc2_bf3_pdf;source_gb3_2021_214105_gr2_bf3_pdf
session_gb3_2021_214105_race_3_result,event_gb3_2021_r7_donington_park,2021-10-16,series_gb3,2021,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2021_214105_rc3_bf3_pdf;source_gb3_2021_214105_gr3_bf3_pdf
session_gb3_2022_778,event_gb3_2022_r1_oulton_park,2022-04-15,series_gb3,2022,track_oulton_park_international,Oulton Park,United Kingdom,running,14,14,2.692,37.688,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_778
session_gb3_2022_779,event_gb3_2022_r1_oulton_park,2022-04-15,series_gb3,2022,track_oulton_park_international,Oulton Park,United Kingdom,running,14,14,2.692,37.688,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_779
session_gb3_2022_780,event_gb3_2022_r1_oulton_park,2022-04-15,series_gb3,2022,track_oulton_park_international,Oulton Park,United Kingdom,running,14,14,2.692,37.688,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_780
session_gb3_2022_1082,event_gb3_2022_r2_silverstone,2022-05-07,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1082
session_gb3_2022_1083,event_gb3_2022_r2_silverstone,2022-05-07,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1083
session_gb3_2022_1084,event_gb3_2022_r2_silverstone,2022-05-07,series_gb3,2022,track_silverstone_gp,Silverstone Circuit,United Kingdom,running,10,10,3.66,36.600,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1084
session_gb3_2022_1085,event_gb3_2022_r3_donington_park,2022-05-28,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1085
session_gb3_2022_1257,event_gb3_2022_r3_donington_park,2022-05-28,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1257
session_gb3_2022_1087,event_gb3_2022_r3_donington_park,2022-05-28,series_gb3,2022,track_donington_park_gp,Donington Park,United Kingdom,running,12,12,2.498,29.976,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1087
session_gb3_2022_1088,event_gb3_2022_r4_snetterton,2022-06-25,series_gb3,2022,track_snetterton_300,Snetterton Circuit,United Kingdom,running,12,12,2.969,35.628,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1088
session_gb3_2022_1089,event_gb3_2022_r4_snetterton,2022-06-25,series_gb3,2022,track_snetterton_300,Snetterton Circuit,United Kingdom,running,12,12,2.969,35.628,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1089
session_gb3_2022_1305,event_gb3_2022_r4_snetterton,2022-06-25,series_gb3,2022,track_snetterton_300,Snetterton Circuit,United Kingdom,dsq,0,0,2.969,0.000,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1305
session_gb3_2022_1363,event_gb3_2022_r5_spa,2022-07-23,series_gb3,2022,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,8,8,4.352,34.816,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1363
session_gb3_2022_1364,event_gb3_2022_r5_spa,2022-07-23,series_gb3,2022,track_spa_gp,Circuit de Spa-Francorchamps,Belgium,running,9,9,4.352,39.168,observed_exact,driver_result,driver_physical_race,canonical driver result lapsCompleted,source_gb3_2022_session_1364
