fromEventId,fromEventStartDate,fromTrackName,fromCountry,toEventId,toEventStartDate,toTrackName,toCountry,greatCircleMiles,greatCircleConfidence,travelModeProxy,routeFactorLow,routeFactorBase,routeFactorHigh,routeAdjustedLowMiles,routeAdjustedBaseMiles,routeAdjustedHighMiles,routeAdjustedConfidence,actualTravelConfidence
event_formula_ford_2020_national_brands_hatch,2020-09-26,Brands Hatch Circuit,United Kingdom,event_formula_ford_2020_national_silverstone,2020-10-10,Silverstone Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
event_formula_ford_2020_national_silverstone,2020-10-10,Silverstone Circuit,United Kingdom,event_formula_ford_2020_formula_ford_festival,2020-10-24,Brands Hatch Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
event_formula_ford_2020_formula_ford_festival,2020-10-24,Brands Hatch Circuit,United Kingdom,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,Silverstone Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
event_formula_ford_2020_walter_hayes_trophy,2020-10-31,Silverstone Circuit,United Kingdom,event_gb3_2021_r1_brands_hatch,2021-05-22,Brands Hatch Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
event_gb3_2021_r1_brands_hatch,2021-05-22,Brands Hatch Circuit,United Kingdom,event_gb3_2021_r2_silverstone,2021-06-26,Silverstone Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
event_gb3_2021_r2_silverstone,2021-06-26,Silverstone Circuit,United Kingdom,event_gb3_2021_r3_donington_park,2021-07-10,Donington Park,United Kingdom,54.1,observed_exact,drive_proxy,1.12,1.18,1.28,60.6,63.8,69.3,modeled_range,unknown
event_gb3_2021_r3_donington_park,2021-07-10,Donington Park,United Kingdom,event_gb3_2021_r4_spa_francorchamps,2021-07-24,Circuit de Spa-Francorchamps,Belgium,355.6,observed_exact,flight_proxy,1.03,1.08,1.15,366.3,384.0,408.9,modeled_range,unknown
event_gb3_2021_r4_spa_francorchamps,2021-07-24,Circuit de Spa-Francorchamps,Belgium,event_gb3_2021_r5_snetterton,2021-08-07,Snetterton Circuit,United Kingdom,257.6,observed_exact,flight_proxy,1.03,1.08,1.15,265.3,278.2,296.2,modeled_range,unknown
event_gb3_2021_r5_snetterton,2021-08-07,Snetterton Circuit,United Kingdom,event_gb3_2021_r6_oulton_park,2021-09-11,Oulton Park,United Kingdom,156.7,observed_exact,drive_proxy,1.12,1.18,1.28,175.5,184.9,200.6,modeled_range,unknown
event_gb3_2021_r6_oulton_park,2021-09-11,Oulton Park,United Kingdom,event_gb3_2021_r7_donington_park,2021-10-16,Donington Park,United Kingdom,56.8,observed_exact,drive_proxy,1.12,1.18,1.28,63.6,67.0,72.7,modeled_range,unknown
event_gb3_2021_r7_donington_park,2021-10-16,Donington Park,United Kingdom,event_gb3_2022_r1_oulton_park,2022-04-15,Oulton Park,United Kingdom,56.8,observed_exact,drive_proxy,1.12,1.18,1.28,63.6,67.0,72.7,modeled_range,unknown
event_gb3_2022_r1_oulton_park,2022-04-15,Oulton Park,United Kingdom,event_gb3_2022_r2_silverstone,2022-05-07,Silverstone Circuit,United Kingdom,101.2,observed_exact,drive_proxy,1.12,1.18,1.28,113.4,119.5,129.6,modeled_range,unknown
event_gb3_2022_r2_silverstone,2022-05-07,Silverstone Circuit,United Kingdom,event_gb3_2022_r3_donington_park,2022-05-28,Donington Park,United Kingdom,54.1,observed_exact,drive_proxy,1.12,1.18,1.28,60.6,63.8,69.3,modeled_range,unknown
event_gb3_2022_r3_donington_park,2022-05-28,Donington Park,United Kingdom,event_gb3_2022_r4_snetterton,2022-06-25,Snetterton Circuit,United Kingdom,100.6,observed_exact,drive_proxy,1.12,1.18,1.28,112.7,118.8,128.8,modeled_range,unknown
event_gb3_2022_r4_snetterton,2022-06-25,Snetterton Circuit,United Kingdom,event_gb3_2022_r5_spa,2022-07-23,Circuit de Spa-Francorchamps,Belgium,257.6,observed_exact,flight_proxy,1.03,1.08,1.15,265.3,278.2,296.2,modeled_range,unknown
event_gb3_2022_r5_spa,2022-07-23,Circuit de Spa-Francorchamps,Belgium,event_gb3_2022_r6_silverstone,2022-07-30,Silverstone Circuit,United Kingdom,322.6,observed_exact,flight_proxy,1.03,1.08,1.15,332.3,348.4,371.0,modeled_range,unknown
event_gb3_2022_r6_silverstone,2022-07-30,Silverstone Circuit,United Kingdom,event_gb3_2022_r7_brands_hatch,2022-09-10,Brands Hatch Circuit,United Kingdom,74.1,observed_exact,drive_proxy,1.12,1.18,1.28,83.0,87.4,94.8,modeled_range,unknown
