sessionId,eventId,eventStartDate,seriesId,seriesName,seasonYear,sessionType,sessionName,trackId,trackName,country,lapsFloor,lengthMi,milesFloor,confidenceClass,sourceGrain,metricGrain,lapField,semanticNote,sourceRef
session_frp_f1600_2019_r6_03_qualifying,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,qualifying,Qualifying,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,14,2.0,28.000,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r6_03_qualifying_pdf
session_frp_f1600_2019_r6_04_race_1,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,17,2.0,34.000,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r6_04_race_1_pdf
session_frp_f1600_2019_r6_05_race_2,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,17,2.0,34.000,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r6_05_race_2_pdf
session_frp_f1600_2019_r6_06_race_3,event_frp_f1600_2019_r6_summit_point,2019-08-23,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_summit_point_motorsports_park,Summit Point Motorsports Park Main Circuit,United States,17,2.0,34.000,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r6_06_race_3_pdf
session_frp_f1600_2019_r7_01_practice_1,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 1,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,8,2.25,18.000,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r7_01_practice_1_pdf
session_frp_f1600_2019_r7_02_practice_2,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,practice,Practice 2,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,15,2.25,33.750,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r7_02_practice_2_pdf
session_frp_f1600_2019_r7_03_qualifying,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,qualifying,Qualifying,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,14,2.25,31.500,observed_lower_bound,driver_result,driver_physical_session,bestLapNumber,"best lap occurred on lap N; N is a lower bound, never a session total",source_frp_f1600_2019_r7_03_qualifying_pdf
session_frp_f1600_2019_r7_04_race_1,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,race,Race 1,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,19,2.25,42.750,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_04_race_1_pdf
session_frp_f1600_2019_r7_05_race_2,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,race,Race 2,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,19,2.25,42.750,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_05_race_2_pdf
session_frp_f1600_2019_r7_06_race_3,event_frp_f1600_2019_r7_new_jersey_motorsports_park,2019-09-13,series_frp_f1600,F1600 Championship Series,2019,race,Race 3,track_new_jersey_motorsports_park_thunderbolt,New Jersey Motorsports Park Thunderbolt Raceway,United States,19,2.25,42.750,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_frp_f1600_2019_r7_06_race_3_pdf
session_formula_ford_2020_national_oulton_park_qualifying_race_1,event_formula_ford_2020_national_oulton_park,2020-07-18,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - RACE 1,track_oulton_park_international,Oulton Park,United Kingdom,7,2.692,18.844,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_national_oulton_park_qualifying_race_1_classification
session_formula_ford_2020_national_oulton_park_race_1,event_formula_ford_2020_national_oulton_park,2020-07-18,series_formula_ford,Formula Ford,2020,race,RACE 1,track_oulton_park_international,Oulton Park,United Kingdom,6,2.692,16.152,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_oulton_park_race_1_classification;source_formula_ford_2020_national_oulton_park_race_1_grid
session_formula_ford_2020_national_oulton_park_race_8,event_formula_ford_2020_national_oulton_park,2020-07-18,series_formula_ford,Formula Ford,2020,race,RACE 8,track_oulton_park_international,Oulton Park,United Kingdom,7,2.692,18.844,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_oulton_park_race_8_classification;source_formula_ford_2020_national_oulton_park_race_8_grid
session_formula_ford_2020_champion_cadwell_qualifying_race_2,event_formula_ford_2020_champion_cadwell,2020-08-22,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - RACE 2,track_cadwell_park_full,Cadwell Park Circuit,United Kingdom,7,2.187,15.309,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_champion_cadwell_qualifying_race_2_classification
session_formula_ford_2020_champion_cadwell_race_2,event_formula_ford_2020_champion_cadwell,2020-08-22,series_formula_ford,Formula Ford,2020,race,RACE 2,track_cadwell_park_full,Cadwell Park Circuit,United Kingdom,10,2.187,21.870,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_champion_cadwell_race_2_classification;source_formula_ford_2020_champion_cadwell_race_2_grid
session_formula_ford_2020_champion_cadwell_race_5,event_formula_ford_2020_champion_cadwell,2020-08-22,series_formula_ford,Formula Ford,2020,race,RACE 5,track_cadwell_park_full,Cadwell Park Circuit,United Kingdom,10,2.187,21.870,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_champion_cadwell_race_5_classification;source_formula_ford_2020_champion_cadwell_race_5_grid
session_formula_ford_2020_champion_brands_qualifying_race_5,event_formula_ford_2020_champion_brands,2020-09-12,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - RACE 5,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,15,1.208,18.120,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_champion_brands_qualifying_race_5_classification
session_formula_ford_2020_champion_brands_race_11,event_formula_ford_2020_champion_brands,2020-09-12,series_formula_ford,Formula Ford,2020,race,RACE 11,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,18,1.208,21.744,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_champion_brands_race_11_classification;source_formula_ford_2020_champion_brands_race_11_grid
session_formula_ford_2020_champion_brands_race_5,event_formula_ford_2020_champion_brands,2020-09-12,series_formula_ford,Formula Ford,2020,race,RACE 5,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,18,1.208,21.744,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_champion_brands_race_5_classification;source_formula_ford_2020_champion_brands_race_5_grid
session_formula_ford_2020_national_brands_hatch_qualifying_race_2,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - RACE 2,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,17,1.208,20.536,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_national_brands_hatch_qualifying_race_2_classification
session_formula_ford_2020_national_brands_hatch_race_11,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,Formula Ford,2020,race,RACE 11,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,18,1.208,21.744,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_11_classification;source_formula_ford_2020_national_brands_hatch_race_11_grid
session_formula_ford_2020_national_brands_hatch_race_18,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,Formula Ford,2020,race,RACE 18,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,18,1.208,21.744,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_18_classification;source_formula_ford_2020_national_brands_hatch_race_18_grid
session_formula_ford_2020_national_brands_hatch_race_2,event_formula_ford_2020_national_brands_hatch,2020-09-26,series_formula_ford,Formula Ford,2020,race,RACE 2,track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,18,1.208,21.744,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_brands_hatch_race_2_classification;source_formula_ford_2020_national_brands_hatch_race_2_grid
session_formula_ford_2020_national_silverstone_qualifying_race_3,event_formula_ford_2020_national_silverstone,2020-10-10,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - RACE 3,track_silverstone_international,Silverstone Circuit,United Kingdom,13,1.8508,24.060,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_national_silverstone_qualifying_race_3_classification
session_formula_ford_2020_national_silverstone_race_3,event_formula_ford_2020_national_silverstone,2020-10-10,series_formula_ford,Formula Ford,2020,race,RACE 3,track_silverstone_international,Silverstone Circuit,United Kingdom,12,1.8508,22.210,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_silverstone_race_3_classification;source_formula_ford_2020_national_silverstone_race_3_grid
session_formula_ford_2020_national_silverstone_race_7,event_formula_ford_2020_national_silverstone,2020-10-10,series_formula_ford,Formula Ford,2020,race,RACE 7,track_silverstone_international,Silverstone Circuit,United Kingdom,11,1.8508,20.359,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_national_silverstone_race_7_classification;source_formula_ford_2020_national_silverstone_race_7_grid
session_formula_ford_2020_festival_grand_final_race_21,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,Formula Ford,2020,race,GRAND FINAL (RACE 21),track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,20,1.208,24.160,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_festival_grand_final_race_21_classification;source_formula_ford_2020_festival_grand_final_race_21_grid
session_formula_ford_2020_festival_heat_1_race_4,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,Formula Ford,2020,heat,HEAT 1 (RACE 4),track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,15,1.208,18.120,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_festival_heat_1_race_4_classification;source_formula_ford_2020_festival_heat_1_race_4_grid
session_formula_ford_2020_festival_qualifying_heat_1_race_4,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,Formula Ford,2020,qualifying,QUALIFYING - HEAT 1 (RACE 4),track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,14,1.208,16.912,observed_exact,driver_result,driver_physical_session,lapsCompleted,canonical physical-session driver result lap count,source_formula_ford_2020_festival_qualifying_heat_1_race_4_classification
session_formula_ford_2020_festival_semi_final_1_race_13,event_formula_ford_2020_formula_ford_festival,2020-10-24,series_formula_ford,Formula Ford,2020,race,SEMI FINAL 1 (RACE 13),track_brands_hatch_indy,Brands Hatch Circuit,United Kingdom,15,1.208,18.120,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_festival_semi_final_1_race_13_classification;source_formula_ford_2020_festival_semi_final_1_race_13_grid
session_formula_ford_2020_wht_grand_final,event_formula_ford_2020_walter_hayes_trophy,2020-10-31,series_formula_ford,Formula Ford,2020,race,GRAND FINAL,track_silverstone_national,Silverstone Circuit,United Kingdom,5,1.64,8.200,observed_exact,driver_result,driver_physical_session,personalLaps,canonical driver result lapsCompleted,source_formula_ford_2020_wht_grand_final_classification;source_formula_ford_2020_wht_grand_final_grid
