seasonYear,eventId,eventName,sessionId,raceNumber,sessionName,trackName,trackType,teamName,fieldSize,startPosition,finishPosition,positionGain,finishPercentile,qPrimaryPosition,qSecondFastestPosition,qBestPosition,qBestToFinishDelta,points,status,pitStops,bestLapTime,gapToLeader,sourceFamily,sourceState,confidence,caveat,provenanceRefs,sourceHash
2022,event_gb3_2022_r5_spa,GB3 2022 Round 5 - Spa,session_gb3_2022_1363,13,Race 1,Circuit de Spa-Francorchamps,road,Hitech Pulse-Eight,22.0,,9.0,,0.6364,5.0,,5.0,-4.0,12.0,running,0.0,02:18:124,12.891,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1363,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r5_spa,GB3 2022 Round 5 - Spa,session_gb3_2022_1364,14,Race 2,Circuit de Spa-Francorchamps,road,Hitech Pulse-Eight,22.0,,14.0,,0.4091,5.0,,5.0,-9.0,7.0,running,0.0,02:17:469,24.854,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1364,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r5_spa,GB3 2022 Round 5 - Spa,session_gb3_2022_1365,15,Race 3,Circuit de Spa-Francorchamps,road,Hitech Pulse-Eight,22.0,,21.0,,0.0909,5.0,,5.0,-16.0,0.0,running,0.0,,6.970,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1365,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,session_gb3_2022_1094,16,Race 1,Silverstone Circuit,road,Hitech Pulse-Eight,22.0,,16.0,,0.3182,,,,,5.0,running,0.0,01:54:356,17.039,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1094,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,session_gb3_2022_1376,17,Race 2,Silverstone Circuit,road,Hitech Pulse-Eight,23.0,,,,,,,,,0.0,dnf,1.0,01:56:176,3 Laps,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1376,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,session_gb3_2022_1096,18,Race 3 ,Silverstone Circuit,road,Hitech Pulse-Eight,21.0,,14.0,,0.381,,,,,9.0,running,0.0,01:56:962,20.555,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1096,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,session_gb3_2022_1097,19,Race 1,Brands Hatch Circuit,road,Hitech Pulse-Eight,22.0,,8.0,,0.6818,9.0,,9.0,1.0,13.0,running,0.0,01:20:227,16.364,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1097,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,session_gb3_2022_1098,20,Race 2,Brands Hatch Circuit,road,Hitech Pulse-Eight,22.0,,7.0,,0.7273,9.0,,9.0,2.0,15.0,running,0.0,01:19:570,8.721,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1098,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,session_gb3_2022_1099,21,Race 3 ,Brands Hatch Circuit,road,Hitech Pulse-Eight,22.0,,10.0,,0.5909,9.0,,9.0,-1.0,8.0,running,0.0,01:20:113,13.668,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1099,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,session_gb3_2022_1103,22,Race 1,Donington Park,road,Hitech Pulse-Eight,20.0,,6.0,,0.75,3.0,,3.0,-3.0,17.0,running,0.0,01:23:927,7.058,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1103,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,session_gb3_2022_1104,23,Race 2,Donington Park,road,Hitech Pulse-Eight,20.0,,3.0,,0.9,3.0,,3.0,0.0,24.0,running,0.0,01:28:745,2.684,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1104,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
2022,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,session_gb3_2022_1105,24,Race 3 ,Donington Park,road,Hitech Pulse-Eight,20.0,,13.0,,0.4,3.0,,3.0,-10.0,8.0,running,0.0,01:24:571,7.206,2022 GB3 official JSON,official_api_results_and_pit_counts,high,"2022 supports official GB3 JSON classifications and pit-stop count fields, but exposes no source-backed starts, official weather/track conditions, lap samples, or section metrics.",source_gb3_2022_session_1105,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
