seasonYear,eventName,sessionName,sessionType,trackName,observedAt,ambientConditionRaw,trackConditionRaw,wetDry,weatherConfidence,timeConfidence,locationConfidence,bryceFinishPositionIfRace,bryceFinishPercentileIfRace,sourceState,confidence,caveat,provenanceRefs,eventId,sessionId,sourceHash
2021,GB3 2021 Round 4 - Spa-Francorchamps,Race 3 Result,race,Circuit de Spa-Francorchamps,2021-07-25T11:04:00,Sunny,Dry,dry,official,high,track_exact,14.0,0.1875,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_212905_rc3_bf3_pdf,event_gb3_2021_r4_spa_francorchamps,session_gb3_2021_212905_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Qualifying,qualifying,Snetterton Circuit,2021-08-07T10:39:00,Rain,Damp,damp,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213105_qu1_bf3_pdf,event_gb3_2021_r5_snetterton,session_gb3_2021_213105_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Qualifying 2nd Fastest,qualifying,Snetterton Circuit,2021-08-07T10:39:00,Rain,Damp,damp,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213105_qu2_bf3_pdf,event_gb3_2021_r5_snetterton,session_gb3_2021_213105_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 1 Result,race,Snetterton Circuit,2021-08-07T13:48:00,Cloudy,Dry,dry,official,high,track_exact,11.0,0.4444,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213105_rc1_bf3_pdf,event_gb3_2021_r5_snetterton,session_gb3_2021_213105_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 2 Result,race,Snetterton Circuit,2021-08-08T12:10:00,Cloudy,Dry,dry,official,high,track_exact,6.0,0.7222,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213105_rc2_bf3_pdf,event_gb3_2021_r5_snetterton,session_gb3_2021_213105_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 5 - Snetterton,Race 3 Result,race,Snetterton Circuit,2021-08-08T14:20:00,Overcast,Dry,dry,official,high,track_exact,13.0,0.3333,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213105_rc3_bf3_pdf,event_gb3_2021_r5_snetterton,session_gb3_2021_213105_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Qualifying,qualifying,Oulton Park,2021-09-11T11:10:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213605_qu1_bf3_pdf,event_gb3_2021_r6_oulton_park,session_gb3_2021_213605_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Qualifying 2nd Fastest,qualifying,Oulton Park,2021-09-11T11:10:00,Sunny,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213605_qu2_bf3_pdf,event_gb3_2021_r6_oulton_park,session_gb3_2021_213605_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 1 Result,race,Oulton Park,2021-09-11T14:24:00,Cloudy,Dry,dry,official,high,track_exact,14.0,0.1875,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213605_rc1_bf3_pdf,event_gb3_2021_r6_oulton_park,session_gb3_2021_213605_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 2 Result,race,Oulton Park,2021-09-12T12:29:00,Overcast,Dry,dry,official,high,track_exact,8.0,0.5882,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213605_rc2_bf3_pdf,event_gb3_2021_r6_oulton_park,session_gb3_2021_213605_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 6 - Oulton Park,Race 3 Result,race,Oulton Park,2021-09-12T15:42:00,Rain,Wet,wet,official,high,track_exact,13.0,0.2941,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_213605_rc3_bf3_pdf,event_gb3_2021_r6_oulton_park,session_gb3_2021_213605_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Qualifying,qualifying,Donington Park,2021-10-16T10:50:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_214105_qu1_bf3_pdf,event_gb3_2021_r7_donington_park,session_gb3_2021_214105_qualifying,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Qualifying 2nd Fastest,qualifying,Donington Park,2021-10-16T10:50:00,Overcast,Dry,dry,official,high,track_exact,,,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_214105_qu2_bf3_pdf,event_gb3_2021_r7_donington_park,session_gb3_2021_214105_qualifying_2nd_fastest,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 1 Result,race,Donington Park,2021-10-16T15:08:00,Cloudy,Dry,dry,official,high,track_exact,6.0,0.7619,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_214105_rc1_bf3_pdf,event_gb3_2021_r7_donington_park,session_gb3_2021_214105_race_1_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 2 Result,race,Donington Park,2021-10-17T10:03:00,Drizzle,Wet,wet,official,high,track_exact,6.0,0.7619,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_214105_rc2_bf3_pdf,event_gb3_2021_r7_donington_park,session_gb3_2021_214105_race_2_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
2021,GB3 2021 Round 7 - Donington Park,Race 3 Result,race,Donington Park,2021-10-17T16:01:00,Overcast,Dry,dry,official,high,track_exact,13.0,0.4286,official_tsl_session_condition_line,high,Official TSL condition strings provide context only. They do not support causal performance claims.,source_gb3_2021_214105_rc3_bf3_pdf,event_gb3_2021_r7_donington_park,session_gb3_2021_214105_race_3_result,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
