sessionId,sessionHour,class,validNonPitLapCount,driverCount,carCount,medianLapSeconds,p25LapSeconds,p75LapSeconds,bestLapSeconds,overallHourMedianLapSeconds,classToOverallMedianDeltaSeconds,sourceState,sourceHash
session_imsa_2025_daytona_rolex_24_race,13,GTP,249,15,9,99.173,98.291,100.355,96.156,108.8265,-9.6535,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,13,LMP2,296,19,11,101.577,100.7092,102.6707,98.734,108.8265,-7.2495,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,14,GTD,492,21,18,109.818,109.3528,110.6667,107.999,109.2355,0.5825,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,14,GTDPRO,351,12,12,109.507,109.2085,110.131,108.448,109.2355,0.2715,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,14,GTP,266,12,9,98.489,97.8645,100.0865,96.572,109.2355,-10.7465,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,14,LMP2,285,12,10,101.247,100.507,103.067,98.636,109.2355,-7.9885,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,15,GTD,461,19,17,109.468,109.065,110.011,107.418,108.52,0.948,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,15,GTDPRO,346,17,12,109.1565,108.645,109.7567,107.399,108.52,0.6365,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,15,GTP,302,14,9,98.673,98.1522,99.482,96.233,108.52,-9.847,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,15,LMP2,324,14,10,101.1315,100.3658,101.7993,98.932,108.52,-7.3885,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,16,GTD,492,24,17,109.248,108.8203,109.8743,107.403,108.478,0.77,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,16,GTDPRO,351,15,12,109.005,108.6175,109.576,107.43,108.478,0.527,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,16,GTP,301,14,9,98.59,98.048,99.161,96.522,108.478,-9.888,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,16,LMP2,293,19,10,101.038,100.302,101.884,98.49,108.478,-7.44,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,17,GTD,507,26,17,109.258,108.541,109.763,107.406,108.266,0.992,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,17,GTDPRO,359,15,12,109.038,108.491,109.579,107.156,108.266,0.772,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,17,GTP,294,13,9,98.651,98.1145,99.145,96.176,108.266,-9.615,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,17,LMP2,315,12,10,100.73,100.0865,101.391,98.537,108.266,-7.536,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,18,GTD,402,25,17,110.723,109.2855,138.761,107.858,110.195,0.528,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,18,GTDPRO,294,18,12,110.221,108.637,155.781,107.521,110.195,0.026,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,18,GTP,205,14,9,101.909,98.801,174.621,96.402,110.195,-8.286,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,18,LMP2,218,18,10,104.57,100.612,154.8715,98.879,110.195,-5.625,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,19,GTD,387,24,14,109.293,108.7615,109.8855,107.217,108.2405,1.0525,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,19,GTDPRO,354,21,12,109.0575,108.5532,109.516,107.714,108.2405,0.817,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,19,GTP,299,16,9,98.312,97.5845,99.0175,95.868,108.2405,-9.9285,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,19,LMP2,318,13,10,100.803,100.306,101.7412,99.121,108.2405,-7.4375,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,20,GTD,380,20,15,109.5075,109.094,110.0547,107.988,108.616,0.8915,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,20,GTDPRO,357,15,12,109.367,108.842,109.705,107.833,108.616,0.751,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,20,GTP,295,12,9,98.616,98.156,99.177,96.579,108.616,-10.0,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,20,LMP2,299,17,10,100.838,100.342,101.321,98.989,108.616,-7.778,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,21,GTD,360,22,13,109.5805,109.1505,110.5457,108.092,108.825,0.7555,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,21,GTDPRO,332,20,12,109.433,108.92,110.1343,107.653,108.825,0.608,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,21,GTP,266,15,9,98.571,98.1623,99.2057,97.032,108.825,-10.254,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,21,LMP2,294,16,10,101.505,100.956,102.462,99.457,108.825,-7.32,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,22,GTD,351,15,13,109.738,109.371,110.3425,108.035,109.2085,0.5295,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,22,GTDPRO,347,13,12,109.708,109.0605,110.3355,107.515,109.2085,0.4995,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,22,GTP,272,13,9,98.482,97.858,99.504,96.482,109.2085,-10.7265,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,22,LMP2,246,14,9,101.527,100.6095,103.3293,99.593,109.2085,-7.6815,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,23,GTD,258,10,10,109.6045,109.1368,110.6765,108.117,108.887,0.7175,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,23,GTDPRO,310,16,12,109.409,108.8488,110.7388,107.249,108.887,0.522,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,23,GTP,255,9,9,98.242,97.6135,99.8395,96.061,108.887,-10.645,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,23,LMP2,250,10,9,102.9655,100.8757,106.567,99.145,108.887,-5.9215,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,24,GTD,16,10,10,110.3485,109.8607,110.763,109.056,109.416,0.9325,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,24,GTDPRO,16,12,12,109.9625,109.4297,110.1165,108.74,109.416,0.5465,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,24,GTP,12,9,9,98.8195,97.5897,99.6122,97.222,109.416,-10.5965,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_imsa_2025_daytona_rolex_24_race,24,LMP2,11,9,9,103.145,101.92,104.4005,101.758,109.416,-6.271,official_alkamel_time_cards_hourly_class_pace,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
