sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,bryceLapCount,bryceSectionObservations,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,bestLapRank,topSectionBryceRows,sourceState,sourceHash
session_indy_nxt_2024_6428,event_indy_nxt_2024_5474,2024,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,qualifying,Qualifications - Group 1,9,182,144,0.375,0.2917,0.3819,Back Stretch:1.00 n=9; Turn 10:0.75 n=9; Turn 1B:0.75 n=9; Turn 13:0.62 n=9,Turn 12:0.12 n=9; Turn 12C:0.12 n=9; Turn 2:0.12 n=9; Turn 11:0.25 n=9,7,30,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6437,event_indy_nxt_2024_5475,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,practice,Practice,41,370,205,0.5294,0.2634,0.2098,BS to T3:0.59 n=41; T2 to BS:0.53 n=41; SS2 to T4:0.50 n=41; T1 to SS1:0.47 n=41,SS1 to T2:0.46 n=41; T1 to SS1:0.47 n=41; SS2 to T4:0.50 n=41; T2 to BS:0.53 n=41,14,23,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6438,event_indy_nxt_2024_5475,2024,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,qualifying,Qualifications,2,19,12,0.3824,0.1667,0.0,,,10,21,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6480,event_indy_nxt_2024_5476,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,practice,Practice,57,577,270,0.5294,0.1444,0.1852,Turn 1:0.62 n=45; Turn 4:0.62 n=45; BS - T3:0.59 n=45; Turn 3:0.50 n=45,Turn 2:0.33 n=45; BS - T2:0.41 n=45; Turn 3:0.50 n=45; BS - T3:0.59 n=45,14,26,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6481,event_indy_nxt_2024_5476,2024,OUTFRONT Showdown,World Wide Technology Raceway,oval,qualifying,Qualifications,2,20,12,0.2667,0.0,0.25,,,13,22,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6488,event_indy_nxt_2024_5479,2024,Music City Grand Prix,Nashville Superspeedway,oval,practice,Practice 1,30,309,237,0.7333,0.4768,0.1055,Turn 1 Entry:0.82 n=30; Turn 3:0.80 n=29; BackStretch Exit:0.75 n=30; Turn 1 Exit:0.72 n=30,Turn 4 Entry:0.64 n=29; BackStretch Entry:0.68 n=30; Turn 2 Entry:0.68 n=30; Turn 4 Exit:0.69 n=29,3,22,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6489,event_indy_nxt_2024_5479,2024,Music City Grand Prix,Nashville Superspeedway,oval,qualifying,Qualifications,2,26,16,0.5,0.375,0.375,,,5,20,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6490,event_indy_nxt_2024_5479,2024,Music City Grand Prix,Nashville Superspeedway,oval,practice,Practice 2,33,338,264,0.7333,0.4811,0.0682,BackStretch Exit:0.79 n=33; Turn 2 Entry:0.76 n=33; Turn 3:0.76 n=33; BackStretch Entry:0.75 n=33,Turn 1 Entry:0.67 n=33; Turn 4 Entry:0.67 n=33; Turn 1 Exit:0.69 n=33; Turn 4 Exit:0.69 n=33,9,23,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6494,event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,road,practice,Practice 1,19,327,209,0.6667,0.3876,0.0622,Turn 12:0.94 n=19; Turn 8:0.87 n=19; Turn 9:0.80 n=19; Turn 7:0.75 n=19,Turn 2:0.50 n=19; Turn 6:0.53 n=19; Turns 10/11:0.56 n=19; Turn 3:0.60 n=19,14,28,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2024_6495,event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Portland International Raceway,road,practice,Practice 2,26,436,275,0.5333,0.2182,0.1891,Turn 8:0.81 n=25; Turn 9:0.75 n=25; Turn 3:0.60 n=25; Turn 7:0.56 n=25,Turn 1:0.36 n=25; Turn 5:0.40 n=25; Turns 10/11:0.47 n=25; Turn 4:0.47 n=25,7,28,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
