eventId,seasonYear,eventName,trackName,raceSessionId,raceSessionName,raceFinish,raceStart,finishPercentile,prepSessionCount,practiceMedianTrackSectionPercentile,qualifyingMedianTrackSectionPercentile,bestPrepSectionFamilies,transferClaimStrength,sourceHash
event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Road America,session_indy_nxt_2025_6453,Race,9,10,0.5789,3,0.5828,0.4444,I4 to I4A:0.83 n=33; I3A to I4:0.78 n=33; I14 to I15C:0.73 n=32; I1B to I1:0.70 n=32,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5496,2025,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,session_indy_nxt_2025_6454,Race,14,16,0.3158,2,0.3604,0.1765,Turn 4:0.47 n=43; Turn 3:0.44 n=43; Turn 2:0.35 n=43; Turn 1:0.33 n=43,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2025_5497,2025,Detroit Grand Prix,Streets of Detroit,session_indy_nxt_2025_6455,Race,10,15,0.55,3,0.4192,0.375,I15 to I16:0.60 n=43; Back Str 2:0.56 n=44; I8 to I9:0.53 n=44; I10 to I11:0.53 n=44,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5532,2026,Detroit Grand Prix,Streets of Detroit,session_indy_nxt_2026_6749,Race,8,14,0.7083,3,0.4783,0.3636,Back Str 2:0.65 n=57; I4 to I5:0.65 n=57; I2A to I2:0.61 n=57; I14 to I15:0.55 n=57,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5533,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,session_indy_nxt_2026_6750,Race,8,5,0.7083,2,0.6978,0.6364,Turns 5-6:0.85 n=32; Turns 14-16:0.84 n=32; Turn 4:0.83 n=32; Turn 10:0.80 n=32,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5534,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,session_indy_nxt_2026_6751,Race,18,19,0.2917,3,0.4022,0.2,Turn 9:0.85 n=32; Turns 2/3:0.56 n=32; Turn 1:0.52 n=31; Turns 13/14:0.45 n=31,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5535,2026,Grand Prix of Alabama Race 2,Barber Motorsports Park,session_indy_nxt_2026_6752,Race,7,11,0.75,1,,0.6364,,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5536,2026,Grand Prix of Arlington,Streets of Arlington,session_indy_nxt_2026_6753,Race,18,23,0.2917,3,0.3623,0.1818,BS 2:0.82 n=26; BS 3:0.73 n=26; BS 4:0.64 n=26; Turn 11:0.60 n=26,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5537,2026,Grand Prix at Road America Race 2,Road America,session_indy_nxt_2026_6754,Race,10,15,0.625,1,,0.4545,,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5538,2026,Music City Grand Prix,Nashville Superspeedway,session_indy_nxt_2026_6755,Race,10,8,0.6087,2,0.7273,0.6364,Turn 2 Entry:0.85 n=48; Turn 4 Entry:0.84 n=48; Turn 4 Exit:0.81 n=48; BackStretch Entry:0.77 n=48,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5539,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,session_indy_nxt_2026_6756,Race,22,13,0.125,2,0.5882,0.4545,Turn 4/5/6:0.81 n=27; Turn 12/13:0.80 n=27; Backstretch:0.73 n=27; Turn 11:0.67 n=27,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5540,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,session_indy_nxt_2026_6757,Race,8,14,0.6957,2,0.4091,0.3079,T3 to SS2:0.68 n=39; SS2 to T4:0.45 n=39; T1 to SS1:0.43 n=39; SS1 to T2:0.38 n=39,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5541,2026,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,session_indy_nxt_2026_6758,Race,9,10,0.6667,1,,0.4545,Turn 4:0.86 n=8; Turn 10:0.68 n=8; Corkscrew:0.68 n=8; Turn 1 Exit:0.64 n=8,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5542,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,session_indy_nxt_2026_6759,Race,6,7,0.7917,3,0.499,0.4545,Turn 1 Exit:0.64 n=34; Turn 10:0.60 n=34; Turn 4:0.58 n=34; Turn 1 Entry:0.58 n=34,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5543,2026,Grand Prix at Mid-Ohio Race 2,Mid-Ohio Sports Car Course,session_indy_nxt_2026_6760,Race,14,15,0.4583,1,,0.4273,,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5544,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,session_indy_nxt_2026_6761,Race,16,13,0.375,2,0.3043,0.4273,Turn 4:0.71 n=30; Turn 2:0.63 n=30; Turn 12:0.59 n=30; Turn 8:0.52 n=30,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5545,2026,Grand Prix at Road America Race 1,Road America,session_indy_nxt_2026_6762,Race,21,15,0.1667,2,0.5217,0.4545,I9 to I10:0.66 n=22; I2 to I3:0.65 n=22; I14 to I15C:0.62 n=22; I4A to I5:0.61 n=22,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5546,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,session_indy_nxt_2026_6763,Race,23,12,0.0833,2,0.6364,0.5,Turn 1:0.75 n=43; Turn 2:0.73 n=43; Turn 4:0.68 n=43; Turn 3:0.59 n=43,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5547,2026,Grand Prix of Portland,Portland International Raceway,session_indy_nxt_2026_6764,Race,16,15,0.375,3,0.5326,0.4545,Turn 2:0.67 n=62; Turn 7:0.64 n=62; Turn 3:0.62 n=62; Turn 12:0.61 n=62,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
event_indy_nxt_2026_5548,2026,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,session_indy_nxt_2026_6765,Race,12,14,0.5417,1,,0.4545,,historical_backtest_only,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
