sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,sectionName,sectionType,rank,fieldSize,percentile,time,timeSeconds,speedMph,lapNumber,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,PO to PI,pit_or_timing_line,10,21,0.55,01:39.7790,99.779,73.287,0,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,SF to Turn 7,pit_or_timing_line,4,21,0.85,00:33.7429,33.7429,110.831,23,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,Turn 7 to Turn 11,track_section,10,21,0.55,00:18.0758,18.0758,116.026,23,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6354,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 1,Turn 11 to SF,pit_or_timing_line,6,21,0.75,00:21.3085,21.3085,111.831,23,official_top_section_times,metric_indy_nxt_2024_6354_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Lap,lap_total,7,21,0.7,01:12.0780,72.078,114.876,19,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turns 14-16,track_section,8,21,0.65,00:05.4839,5.4839,109.784,19,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turn 17,track_section,2,21,0.95,00:09.4963,9.4963,112.148,20,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,FS-PO,pit_or_timing_line,8,21,0.65,00:02.0476,2.0476,148.511,21,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turns 1-3,track_section,4,22,0.8571,00:10.1131,10.1131,102.612,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,Turn 4,track_section,9,21,0.6,00:07.2935,7.2935,131.624,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
