sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
T2 to BS,practice,Iowa Speedway,77,0.5294,0.5277,0.1688,0.1429,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
T3 to SS2,practice,Iowa Speedway,36,0.5425,0.5215,0.1944,0.1667,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Back Stretch,practice,Mid-Ohio Sports Car Course,78,0.5556,0.5532,0.2949,0.1538,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1,practice,Mid-Ohio Sports Car Course,77,0.2667,0.3085,0.0519,0.4935,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 10,practice,Mid-Ohio Sports Car Course,80,0.3333,0.4138,0.1625,0.375,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 11,practice,Mid-Ohio Sports Car Course,80,0.3611,0.416,0.0875,0.3125,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12,practice,Mid-Ohio Sports Car Course,78,0.3529,0.398,0.1282,0.3333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12C,practice,Mid-Ohio Sports Car Course,78,0.4028,0.4153,0.1154,0.3205,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 13,practice,Mid-Ohio Sports Car Course,78,0.5625,0.5522,0.2692,0.1154,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1A,practice,Mid-Ohio Sports Car Course,77,0.3889,0.445,0.1558,0.1818,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1B,practice,Mid-Ohio Sports Car Course,78,0.4444,0.4366,0.1026,0.1923,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 2,practice,Mid-Ohio Sports Car Course,78,0.6111,0.5932,0.2949,0.0897,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,practice,Mid-Ohio Sports Car Course,78,0.645,0.6183,0.2949,0.0769,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4,practice,Mid-Ohio Sports Car Course,78,0.5,0.5203,0.2564,0.1795,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 5,practice,Mid-Ohio Sports Car Course,78,0.6111,0.5646,0.3205,0.1923,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 6/7,practice,Mid-Ohio Sports Car Course,78,0.441,0.4277,0.0513,0.2436,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8,practice,Mid-Ohio Sports Car Course,78,0.5,0.4821,0.2308,0.2564,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 9,practice,Mid-Ohio Sports Car Course,78,0.3944,0.4271,0.1538,0.3333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Back Stretch,qualifying,Mid-Ohio Sports Car Course,19,0.5,0.6184,0.4211,0.2105,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1,qualifying,Mid-Ohio Sports Car Course,19,0.2857,0.3712,0.1579,0.4737,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 10,qualifying,Mid-Ohio Sports Car Course,20,0.625,0.5563,0.35,0.25,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 11,qualifying,Mid-Ohio Sports Car Course,20,0.375,0.4625,0.25,0.35,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12,qualifying,Mid-Ohio Sports Car Course,19,0.375,0.3882,0.1579,0.4211,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12C,qualifying,Mid-Ohio Sports Car Course,19,0.375,0.3816,0.1579,0.4737,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 13,qualifying,Mid-Ohio Sports Car Course,19,0.75,0.7237,0.6842,0.0526,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1A,qualifying,Mid-Ohio Sports Car Course,19,0.25,0.3186,0.1053,0.6316,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1B,qualifying,Mid-Ohio Sports Car Course,19,0.375,0.4474,0.2632,0.3684,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 2,qualifying,Mid-Ohio Sports Car Course,19,0.5,0.5132,0.4211,0.3158,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
