sessionId,restartIndex,restartLap,driverId,driverName,carNumber,isBryce,isTeammate,baselinePosition,endPosition,net,sourceHash
session_indy_nxt_2024_6315,2,32,driver_michael_d_orlando,Michael d'Orlando,3,false,false,13,13,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_nolan_siegel,Nolan Siegel,39,false,false,2,2,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_jack_william_miller,Jack William Miller,40,false,false,16,16,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_jacob_abel,Jacob Abel,51,false,false,1,1,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_lindsay_brewer,Lindsay Brewer,76,false,false,17,17,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_reece_gold,Reece Gold,10,false,false,5,6,-1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_jonathan_browne,Jonathan Browne,23,false,false,7,8,-1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_nolan_allaer,Nolan Allaer,11,false,false,10,12,-2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6315,2,32,driver_niels_koolen,Niels Koolen,33,false,false,8,10,-2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_michael_d_orlando,Michael d'Orlando,3,false,false,11,8,3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_jack_william_miller,Jack William Miller,40,false,false,19,17,2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_callum_hedge,Callum Hedge,17,false,false,7,6,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_salvador_de_alba,Salvador de Alba,2,false,false,12,11,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_jordan_missig,Jordan Missig,21,false,false,15,14,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_yuven_sundaramoorthy,Yuven Sundaramoorthy,22,false,false,10,9,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_jonathan_browne,Jonathan Browne,23,false,false,13,12,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_bryce_aron,Bryce Aron,27,true,false,6,5,1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_caio_collet,Caio Collet,18,false,false,4,4,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_louis_foster,Louis Foster,26,false,true,3,3,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_jamie_chadwick,Jamie Chadwick,28,false,true,1,1,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2024_6316,1,5,driver_james_roe,James Roe,29,false,true,21,21,0,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
