sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,restartCount,cautionPeriods,bryceRestartsCounted,bryceNet,bryceGained,bryceHeld,bryceSlipped,bryceRankInField,fieldSizeRanked,fieldMedianNet,bryceBeatFieldTypical,soleBestInField,coBestInField,coverageNote,sourceHash
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,4,4,0,0,0,0,0,,18,0.0,false,false,false,bryce_absent_from_lap_chart,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6451,2025,INDY NXT by Firestone at Iowa Speedway,Iowa Speedway,oval,iowa_speedway,2,2,2,0,0,2,0,8,19,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6452,2025,Grand Prix at Mid-Ohio,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,1,0,0,1,0,2,17,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6453,2025,Grand Prix at Road America,Road America,road,road_america,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6454,2025,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6455,2025,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,2,1,1,1,0,0,2,18,0.0,true,false,false,bryce_partial_restart_coverage,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,4,3,0,0,3,0,7,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,2,2,2,-2,1,0,1,20,23,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,4,4,4,-4,0,1,3,24,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6752,2026,Grand Prix of Alabama Race 2,Barber Motorsports Park,road,barber_motorsports_park,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,2,2,2,-1,0,1,1,18,23,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,2,2,2,-2,1,0,1,21,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6755,2026,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,2,2,2,-1,0,1,1,16,21,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6756,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,2,1,3,1,0,0,3,24,1.0,true,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,4,4,4,2,2,1,1,3,21,0.0,true,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6758,2026,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,1,1,1,0,0,1,0,17,22,1.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6759,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,3,3,3,0,0,3,0,11,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6760,2026,Grand Prix at Mid-Ohio Race 2,Mid-Ohio Sports Car Course,road,mid_ohio,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,3,3,3,0,0,3,0,5,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,3,3,3,0,0,3,0,7,23,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,3,3,0,0,0,0,0,,22,0.0,false,false,false,bryce_partial_restart_coverage,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6764,2026,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,1,1,1,0,0,1,0,6,24,0.0,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6765,2026,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,0,0,0,0,0,0,0,,0,,false,false,false,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
