sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,restartIndex,cautionNumbers,cautionReasons,totalLaps,baselineLap,restartLap,windowLaps,windowEndLap,fullWindow,truncated,truncateReason,fieldClassified,fieldNetMedian,fieldNetBest,bryceClassified,bryceBaselinePosition,bryceRestartPosition,bryceEndPosition,bryceNet,bryceRankInField,bryceFieldSizeRanked,sourceHash
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2,2,Contact: Car 11 in Turn 8,42,8,9,2,10,true,false,,23,0.0,3,true,17,17,18,-1,20,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,3,3,Contact: Car 4 in Turn 9,42,19,20,1,20,false,true,next_caution,22,0.0,1,true,16,17,17,-1,21,22,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,4,4,Contact: Car 8 and 10 in Turn 2,42,24,25,2,26,true,false,,20,0.0,2,true,16,16,18,-2,20,20,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,1,1,Contact: Car 57 on Back Stretech,15,4,5,2,6,true,false,,23,0.0,3,true,19,19,20,-1,21,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,2,2,Contact: Car 29 in Turn 14,15,11,12,2,13,true,false,,22,0.0,5,true,20,20,20,0,9,22,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,1,1,Off Course: Car 8 in Turn 13,18,6,7,2,8,true,false,,24,0.0,3,true,11,11,15,-4,23,24,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,2,2,Contact: Car 57 in Turn 1,18,16,17,2,18,true,false,,19,0.0,5,true,13,13,11,2,5,19,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6756,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,1,Conditions,29,15,16,2,17,true,false,,24,1.0,5,true,13,13,10,3,3,24,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,1,1,Mechanical: Car 15 Between Turn 2 and 3,35,6,7,2,8,true,false,,24,0.0,2,true,15,15,15,0,5,24,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,2,2,Mechanical: Car 76 in Turn 7,35,13,14,2,15,true,false,,23,0.0,1,true,17,17,17,0,3,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,3,3,Off Course: Car 68 in Turn 12,35,23,24,2,25,true,false,,23,0.0,1,true,16,16,16,0,4,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,1,1,Contact: Cars 10 and 48 between Turn 11 and Turn 12,20,3,4,1,4,false,true,next_caution,23,0.0,1,true,16,16,16,0,3,23,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,2,2,Contact: Cars 4 and 75 in Turn 12,20,7,8,1,8,false,true,next_caution,22,0.0,0,true,16,16,16,0,1,22,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,3,3,Contact: Cars 9 and 57 in Turn 1,20,10,11,2,12,true,false,,21,0.0,4,true,21,21,21,0,7,21,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,1,1,Contact: Car 75 in Turn 4,75,11,12,2,13,true,false,,22,0.0,1,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,2,2,Debris,75,57,58,2,59,true,false,,22,0.0,2,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,3,3,Contact: Cars 15 and 17 on Turn 2,75,66,67,2,68,true,false,,20,0.0,2,false,,,,,,,900ddfcb701b1977f16e33501302742c328980f5ffcccd190d2e433bba0b5681
