sessionId,raceLabel,seasonYear,trackName,trackType,teamName,startPosition,finishPosition,positionGain,finishPercentile,conversionPercentileDelta,paceIndex,bestLapRank,medianSectionPercentile,sectionComparisonRows,bryceLapGainPercentile,bryceStabilityPercentile,chaosExposureIndex,cautionShare,sessionIncidentCount,sessionPenaltyCount,bryceVsTeamAvgFinish,teamFinishRank,leaderEntropy,weatherContext,archetype,sourceState,confidence,caveat
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,2025,Detroit Downtown Street Circuit,street,Chip Ganassi Racing,15.0,10.0,5.0,0.55,0.28684210526315795,0.31414473684210525,14.0,0.3125,792,0.6111111111111112,0.4444444444444444,0.3844444444444444,0.1111111111111111,7,4,0.5,2,0.0,dry/cool/medium,recovery_drive,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,2025,World Wide Technology Raceway,oval,Chip Ganassi Racing,16.0,14.0,2.0,0.3158,0.14913333333333342,0.2826797385620915,15.0,0.3431372549019608,592,0.5789473684210527,0.8947368421052632,0.14666420730630877,0.0,0,0,2.0,2,0.5833210365315439,dry/hot/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,2025,Road America,road,Chip Ganassi Racing,10.0,9.0,1.0,0.5789,0.07889999999999997,0.3888888888888889,13.0,0.4444444444444444,441,0.8421052631578947,0.8947368421052632,0.17225562489182655,0.0,0,0,-3.0,1,0.8112781244591328,dry/hot/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,2025,Mid-Ohio Sports Car Course,road,Chip Ganassi Racing,7.0,12.0,-5.0,0.4211,-0.24556666666666677,0.3541666666666667,13.0,0.375,561,0.05263157894736842,0.3157894736842105,0.18424242424242424,0.0606060606060606,3,2,-1.0,1,0.0,dry/hot/medium,team_context_outperformed_teammates,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,2025,Iowa Speedway,oval,Chip Ganassi Racing,11.0,9.0,2.0,0.5789,0.13445555555555555,0.3611111111111111,14.0,0.4444444444444444,594,0.8947368421052632,0.6842105263157895,0.3872225474321294,0.1333333333333333,3,1,2.0,2,0.6944460704939805,dry/moderate/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,2025,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,14.0,10.0,4.0,0.5263,0.2485222222222222,0.44696969696969696,11.0,0.4494949494949495,560,0.11764705882352941,0.17647058823529413,0.224047619047619,0.1142857142857142,4,1,-0.5,1,0.0,dry/cool/medium,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6450,2025 Grand Prix of Monterey Race 2 R2,2025,WeatherTech Raceway Laguna Seca,road,Chip Ganassi Racing,12.0,19.0,-7.0,0.0526,-0.3362888888888888,,nan,,7,,,0.5764285714285714,0.4285714285714285,8,6,6.5,2,0.0,dry/cool/medium,incident_or_reliability_limited,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium_low,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,2025,Portland International Raceway,road,Chip Ganassi Racing,5.0,19.0,-14.0,0.0526,-0.7251777777777778,,nan,,4,,,0.15095238095238095,0.0857142857142857,2,0,6.5,2,0.0,dry/moderate/medium,incident_or_reliability_limited,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium_low,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6448,2025 INDY NXT by Firestone at the Milwaukee Mile,2025,The Milwaukee Mile,oval,Chip Ganassi Racing,6.0,5.0,1.0,0.7778,0.07191764705882364,0.5723981900452488,9.0,0.6153846153846154,810,0.8888888888888888,0.3888888888888889,0.17166666666666663,0.0666666666666666,3,0,-3.5,1,0.0,dry/cool/medium,podium_top5_conversion,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
session_indy_nxt_2025_6447,2025 Music City Grand Prix,2025,Nashville Superspeedway,oval,Chip Ganassi Racing,8.0,6.0,2.0,0.7222,0.13396470588235287,0.6823529411764706,5.0,0.6,520,0.4444444444444444,0.9444444444444444,0.4236111485567188,0.1846153846153846,2,2,-0.5,1,0.8904916402194913,dry/moderate/low,baseline_execution,derived_from_official_results_lap_chart_sections_and_modeled_weather,medium,derived score for product discovery; review labels before public UI copy
