sessionId,raceLabel,sectionComparisonRows,medianSectionPercentile,topQuartileShare,bottomQuartileShare,bestSectionFamilies,weakestSectionFamilies,sourceState,caveat
session_indy_nxt_2026_6749,2026 Detroit Grand Prix,756,0.5217391304347826,0.22883597883597884,0.21825396825396826,Back Str 2:0.66; I7 to I8:0.65; I2A to I2:0.64; I1 to I2A:0.61,I11 to 12:0.38; I2 to I3:0.39; I12 to I13:0.39; I3 to I4:0.41,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6763,2026 INDY NXT by Firestone at World Wide Technology Raceway,40,0.09090909090909094,0.025,0.675,FS - PO:0.50; Turn 1:0.27; Turn 4:0.25; Turn 3:0.21,BS - T3:0.05; BS - T2:0.07; FS - PI:0.16; Turn 2:0.18,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6762,2026 Grand Prix at Road America Race 1 R1,430,0.6363636363636364,0.4116279069767442,0.2930232558139535,I12 to I13:0.74; I13A to I14:0.73; I5 to I6:0.72; I4A to I5:0.72,I11 to I11B:0.32; I1B to I1:0.33; I4 to I4A:0.34; I11B to I12:0.36,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6754,2026 Grand Prix at Road America Race 2 R2,396,0.5,0.16666666666666666,0.21717171717171718,I15C to I15:0.65; I15 to SF:0.64; I4A to I5:0.63; I12 to I13:0.61,I8 to I9:0.34; I2 to I3:0.40; I10 to I11:0.41; I5 to I6:0.42,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6761,2026 Grand Prix at Mid-Ohio Race 1 R1,595,0.31818181818181823,0.10252100840336134,0.4,Turn 12:0.58; Turn 2:0.57; Turn 9:0.45; Turn 1B:0.39,Turn 1A:0.23; Turn 12C:0.26; Turn 6/7:0.29; Turn 1:0.29,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6760,2026 Grand Prix at Mid-Ohio Race 2 R2,510,0.3913043478260869,0.08235294117647059,0.30980392156862746,Turn 12:0.54; Turn 11:0.53; Turn 10:0.51; FS - PO:0.51,Turn 12C:0.25; Turn 1A:0.25; Turn 6/7:0.27; Turn 1B:0.31,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6755,2026 Music City Grand Prix,520,0.5397058823529413,0.23846153846153847,0.20576923076923076,Turn 3:0.64; Turn 4 Exit:0.57; Turn 1 Entry:0.56; Turn 4 Entry:0.55,Turn 2 Entry:0.45; Turn 1 Exit:0.47; BackStretch Entry:0.48; BackStretch Exit:0.49,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6764,2026 Grand Prix of Portland,452,0.30434782608695654,0.11946902654867257,0.39601769911504425,Turn 12:0.54; Turn 7:0.52; Turn 2:0.44; FS-PI:0.42,Turn 5:0.25; Turn 8:0.26; Turn 9:0.28; Turn 6:0.32,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6757,2026 INDY NXT by Firestone at Milwaukee Mile,810,0.5,0.18271604938271604,0.20987654320987653,T3 to SS2:0.70; SF to T1:0.59; BS to T3:0.54; T1 to SS1:0.49,SS1 to T2:0.37; T4 to FS:0.39; T2 to BS:0.44; SS2 to T4:0.44,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6759,2026 Grand Prix of Monterey Race 1 R1,560,0.5652173913043479,0.24821428571428572,0.16964285714285715,Turn 1 Exit:0.70; Turn 7:0.70; Turn 1 Entry:0.65; Turn 4A:0.64,Corkscrew:0.39; Turn 11:0.41; Turn 2:0.42; Turn 6:0.44,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
session_indy_nxt_2026_6758,2026 Grand Prix of Monterey Race 2 R2,480,0.6190476190476191,0.3020833333333333,0.125,Turn 4:0.78; Turn 4A:0.75; Turn 10:0.74; Turn 1 Entry:0.68,Turn 6:0.39; Turn 9:0.42; Corkscrew:0.47; Turn 1 Exit:0.48,official_section_results,per-lap section percentile compares source-visible rows only; low-denominator comparisons suppressed
