driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_pascal_monbaron,Pascal MONBARON,,,series_formula_ford,2020,0,3,4,14,0,14,0,7,9.0,7,0,shared_race_field,14,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_pascal_wehrlein,Pascal Wehrlein,DEU,Kreuzlingen,series_imsa_weathertech,2025,1,1,1,1,0,1,204,6,6.0,1,1,teammate_overlap,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_patrick_gallagher,Patrick Gallagher,United States,"Thornville, OH",series_imsa_weathertech,2025,1,1,1,1,0,1,161,30,30.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_patrick_heuzenroeder,Patrick Heuzenroeder,Australia,,series_froc,2024,0,1,1,1,0,1,0,5,5.0,0,0,observed_competitor_or_codriver,1,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_patrick_woods_toth,Patrick Woods Toth,Canada,,series_froc,2024,0,1,5,49,0,49,0,1,5.0,6,0,shared_race_field,49,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_paul_barnes,Paul BARNES,,,series_formula_ford,2020,0,1,1,6,0,6,0,15,17.5,0,0,observed_competitor_or_codriver,6,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_paul_di_resta,Paul Di Resta,GBR,Monaco,series_imsa_weathertech,2025,1,1,1,1,0,1,251,8,8.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_paul_tucker,Paul TUCKER,,,series_formula_ford,2020,0,1,2,7,0,7,0,20,21.0,5,0,shared_race_field,7,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_paul_loup_chatin,Paul-Loup Chatin,FRA,"Chartres, France",series_imsa_weathertech,2025,1,1,1,1,0,1,245,11,11.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_peter_daly,Peter DALY,,,series_formula_ford,2020,0,1,5,19,0,19,0,1,16.0,8,0,shared_race_field,19,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_peter_sikstrom,Peter SIKSTROM,,,series_formula_ford,2020,0,1,1,2,0,2,0,16,20.0,0,0,observed_competitor_or_codriver,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_phil_hart,Phil HART,,,series_formula_ford,2020,0,1,1,6,0,6,0,14,21.5,0,0,observed_competitor_or_codriver,6,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_phil_nelson,Phil NELSON,,,series_formula_ford,2020,0,1,1,3,0,3,0,23,28.0,2,0,shared_race_field,3,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_philip_attwood,Philip ATTWOOD,,,series_formula_ford,2020,0,1,1,5,0,5,0,14,16.0,0,0,observed_competitor_or_codriver,5,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_philip_ellis,Philip Ellis,GBR,"Munich, Germany",series_imsa_weathertech,2025,1,1,1,1,0,1,168,29,29.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_philipp_eng,Philipp Eng,AUT,"Sankt Lorenz, Austria",series_imsa_weathertech,2025,1,1,1,1,0,1,227,4,4.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_pietro_fittipaldi,Pietro Fittipaldi,BRA,"Miami, FL",series_imsa_weathertech,2025,1,1,1,1,0,1,195,39,39.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_pipo_derani,Pipo Derani,BRA,"São Paulo, Brazil",series_imsa_weathertech,2025,1,1,1,1,0,1,91,50,50.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_raffaele_marciello,Raffaele Marciello,ITA,"Breganzona, Switzerland",series_imsa_weathertech,2025,1,1,1,1,0,1,102,4,4.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rahel_frey,Rahel Frey,SWZ,"Aedermannsdorf, Switzerland",series_imsa_weathertech,2025,1,1,1,1,0,1,190,33,33.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
