sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,cautionNumber,startLap,endLap,durationLaps,totalRaceLaps,lapFraction,third,restartLap,ranToFlag,category,reason,sourceHash
session_indy_nxt_2026_6756,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,1,11,15,5,29,0.3793,middle,16,false,Conditions,Conditions,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6756,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2,29,29,1,29,1.0,final,,true,Spin,Spin: Car 9 in Turn 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,1,1,7,7,42,0.0238,opening,8,false,Contact,Contact: Cars 14 and 26 in Turn 3,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2,26,27,2,42,0.619,middle,28,false,Debris,Debris,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,3,31,33,3,42,0.7381,final,34,false,Contact,Contact: Car 10 in Turn 8,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,4,40,42,3,42,0.9524,final,,true,Contact,Contact: Car 28 in Turn 1,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,1,5,11,7,75,0.0667,opening,12,false,Contact,Contact: Car 75 in Turn 4,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,2,54,57,4,75,0.72,final,58,false,Debris,Debris,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,3,61,66,6,75,0.8133,final,67,false,Contact,Contact: Cars 15 and 17 on Turn 2,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,1,1,3,3,20,0.05,opening,4,false,Contact,Contact: Cars 10 and 48 between Turn 11 and Turn 12,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
