sessionId,seasonYear,raceLabel,trackName,trackType,venueSlug,eventStartDate,totalRaceLaps,cautionCount,cautionLapsTotal,openingThird,middleThird,finalThird,unknownThird,ranToFlagCount,medianDurationLaps,categories,sourceHash
session_indy_nxt_2025_6442,2025,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2025-07-25,35,1,4,1,0,0,0,0,4.0,Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6450,2025,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2025-07-26,35,4,15,1,2,1,0,0,3.5,Contact:4,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6449,2025,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,2025-08-08,35,1,3,1,0,0,0,0,3.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6448,2025,INDY NXT by Firestone at the Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,2025-08-23,90,1,6,0,1,0,0,0,6.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6447,2025,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,2025-08-30,65,1,12,0,1,0,0,0,12.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6751,2026,Grand Prix of St. Petersburg,Streets of St. Petersburg,street,streets_of_st_petersburg,2026-02-27,42,4,12,2,2,0,0,0,3.0,Contact:3;Debris:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6753,2026,Grand Prix of Arlington,Streets of Arlington,street,streets_of_arlington,2026-03-13,15,2,5,1,0,1,0,0,2.5,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6750,2026,Grand Prix of Alabama Race 1,Barber Motorsports Park,road,barber_motorsports_park,2026-03-27,35,2,5,1,0,1,0,0,2.5,Contact:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6752,2026,Grand Prix of Alabama Race 2,Barber Motorsports Park,road,barber_motorsports_park,2026-03-28,30,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6756,2026,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2026-05-08,29,2,6,0,1,1,0,1,3.0,Conditions:1;Spin:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6765,2026,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,indianapolis_motor_speedway_road_course,2026-05-08,30,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6749,2026,Detroit Grand Prix,Streets of Detroit,street,streets_of_detroit,2026-05-29,42,4,15,1,1,2,0,1,3.0,Contact:3;Debris:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6763,2026,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,world_wide_technology_raceway,2026-06-06,75,3,17,1,0,2,0,0,6.0,Contact:2;Debris:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6762,2026,Grand Prix at Road America Race 1,Road America,road,road_america,2026-06-19,20,3,8,2,1,0,0,0,3.0,Contact:3,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6754,2026,Grand Prix at Road America Race 2,Road America,road,road_america,2026-06-20,18,2,3,1,0,1,0,0,1.5,Contact:1;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6761,2026,Grand Prix at Mid-Ohio Race 1,Mid-Ohio Sports Car Course,road,mid_ohio,2026-07-03,35,3,6,1,2,0,0,0,2.0,Mechanical:2;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6760,2026,Grand Prix at Mid-Ohio Race 2,Mid-Ohio Sports Car Course,road,mid_ohio,2026-07-04,30,0,0,0,0,0,0,0,,,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6755,2026,Music City Grand Prix,Nashville Superspeedway,oval,nashville_superspeedway,2026-07-18,65,2,11,2,0,0,0,0,5.5,Contact:1;Debris:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6764,2026,Grand Prix of Portland,Portland International Raceway,road,portland_international_raceway,2026-08-07,35,1,2,1,0,0,0,0,2.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6757,2026,INDY NXT by Firestone at Milwaukee Mile,The Milwaukee Mile,oval,the_milwaukee_mile,2026-08-29,90,4,21,0,1,3,0,0,4.0,Contact:2;Spin:2,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6759,2026,Grand Prix of Monterey Race 1,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2026-09-04,35,3,10,0,3,0,0,0,3.0,Contact:2;Off course:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2026_6758,2026,Grand Prix of Monterey Race 2,WeatherTech Raceway Laguna Seca,road,weathertech_raceway_laguna_seca,2026-09-05,30,1,4,1,0,0,0,0,4.0,Contact:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
