sessionId,eventId,eventName,seriesId,seriesName,seasonYear,sessionType,totalContextRows,racecraftCount,penaltyCount,incidentCount,weatherCount,mediaCount,bryceContextCount,wetDryStates,firstLapNumber,lastLapNumber,sourceStateCounts,sourceHash
session_gb3_2021_212705_qualifying,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212705_qualifying_2nd_fastest,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212705_race_1_result,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212705_race_2_result,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212705_race_3_result,event_gb3_2021_r3_donington_park,GB3 2021 Round 3 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_free_practice_1,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,practice,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_free_practice_2,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,practice,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_free_practice_3,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,practice,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_qualifying,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_qualifying_2nd_fastest,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,dry,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_race_1_result,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,wet,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_race_2_result,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_212905_race_3_result,event_gb3_2021_r4_spa_francorchamps,GB3 2021 Round 4 - Spa-Francorchamps,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213105_qualifying,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,damp,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_213105_qualifying_2nd_fastest,event_gb3_2021_r5_snetterton,GB3 2021 Round 5 - Snetterton,series_gb3,GB3 Championship,2021,qualifying,2,0,0,0,1,1,0,damp,,,media_narrative_context:1; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
