weatherId,seriesId,seriesName,seasonYear,eventId,eventName,sessionId,sessionType,sessionName,trackId,trackName,observedAt,wetDry,trackCondition,ambientConditionRaw,ambientTempC,trackTempC,precipitationMm,windSpeedKph,source,weatherSourceType,confidence,timeConfidence,locationConfidence,timeWindowStart,timeWindowEnd,timeWindowReason,joinNotes,provenanceRefCount,sourceState,sourceHash
weather_formula_ford_2020_national_silverstone_race_7_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_national_silverstone,BRSCC National FF1600 2020 - Silverstone International,session_formula_ford_2020_national_silverstone_race_7,race,RACE 7,track_silverstone_international,Silverstone International,2020-10-10T17:20:00,drying,drying,,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-10T17:20:00,2020-10-10T17:20:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_brands_qualifying_race_5_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_brands,Champion of Brands 2020,session_formula_ford_2020_champion_brands_qualifying_race_5,qualifying,QUALIFYING - RACE 5,track_brands_hatch_indy,Brands Hatch Indy,2020-09-12T10:34:00,dry,dry,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-12T10:34:00,2020-09-12T10:34:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_brands_race_11_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_brands,Champion of Brands 2020,session_formula_ford_2020_champion_brands_race_11,race,RACE 11,track_brands_hatch_indy,Brands Hatch Indy,2020-09-12T17:36:00,dry,dry,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-12T17:36:00,2020-09-12T17:36:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_brands_race_5_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_brands,Champion of Brands 2020,session_formula_ford_2020_champion_brands_race_5,race,RACE 5,track_brands_hatch_indy,Brands Hatch Indy,2020-09-12T14:19:00,dry,dry,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-09-12T14:19:00,2020-09-12T14:19:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_cadwell_qualifying_race_2_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,session_formula_ford_2020_champion_cadwell_qualifying_race_2,qualifying,QUALIFYING - RACE 2,track_cadwell_park_full,Cadwell Park,2020-08-22T10:13:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-08-22T10:13:00,2020-08-22T10:13:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_cadwell_race_2_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,session_formula_ford_2020_champion_cadwell_race_2,race,RACE 2,track_cadwell_park_full,Cadwell Park,2020-08-22T11:38:00,dry,dry,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-08-22T11:38:00,2020-08-22T11:38:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_champion_cadwell_race_5_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_champion_cadwell,The Champion of Cadwell for FF1600 2020,session_formula_ford_2020_champion_cadwell_race_5,race,RACE 5,track_cadwell_park_full,Cadwell Park,2020-08-22T14:50:00,dry,dry,Drizzle,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-08-22T14:50:00,2020-08-22T14:50:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_grand_final_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_grand_final,race,GRAND FINAL,track_silverstone_national,Silverstone National,2020-11-01T15:52:00,wet,wet,Overcast,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-11-01T15:52:00,2020-11-01T15:52:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_1_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_1,heat,HEAT 1,track_silverstone_national,Silverstone National,2020-10-31T13:31:00,wet,wet,Rain,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T13:31:00,2020-10-31T13:31:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_1_qualifying_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_1_qualifying,qualifying,HEAT 1 QUALIFYING,track_silverstone_national,Silverstone National,2020-10-31T09:00:00,damp,damp,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T09:00:00,2020-10-31T09:00:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_2_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_2,heat,HEAT 2,track_silverstone_national,Silverstone National,2020-10-31T13:54:00,wet,wet,Overcast,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T13:54:00,2020-10-31T13:54:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_2_qualifying_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_2_qualifying,qualifying,HEAT 2 QUALIFYING,track_silverstone_national,Silverstone National,2020-10-31T09:15:00,damp,damp,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T09:15:00,2020-10-31T09:15:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_3_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_3,heat,HEAT 3,track_silverstone_national,Silverstone National,2020-10-31T14:13:00,wet,wet,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T14:13:00,2020-10-31T14:13:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_3_qualifying_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_3_qualifying,qualifying,HEAT 3 QUALIFYING,track_silverstone_national,Silverstone National,2020-10-31T09:29:00,damp,damp,Cloudy,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T09:29:00,2020-10-31T09:29:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_4_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_4,heat,HEAT 4,track_silverstone_national,Silverstone National,2020-10-31T14:31:00,wet,wet,Bright,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T14:31:00,2020-10-31T14:31:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
weather_formula_ford_2020_wht_heat_4_qualifying_official_conditions,series_formula_ford,Formula Ford,2020,event_formula_ford_2020_walter_hayes_trophy,Walter Hayes Trophy 2020,session_formula_ford_2020_wht_heat_4_qualifying,qualifying,HEAT 4 QUALIFYING,track_silverstone_national,Silverstone National,2020-10-31T09:43:00,wet,wet,Rain,,,,,TSL official classification weather/track line,series_report,official,high,track_exact,2020-10-31T09:43:00,2020-10-31T09:43:00,exact_session_report,Official TSL classification weather/track condition. Coordinates identify the circuit and should be hardened by the track metadata lane.,1,official_weather_context,5d66d442aa62ff829f41a78a998f82218eacb1e92cf10834dc3b4316d03ba7cb
