sessionId,eventId,seasonYear,eventName,sessionName,raceNumber,raceLabel,scheduledStart,timezone,trackId,trackName,trackType,trackLengthMi,cornerCount,fieldSize,qualifyingPosition,qualifyingSource,qualifyingContextState,startPosition,gridPosition,finishPosition,positionGain,qualifyingToFinishDelta,qualifyingToStartDelta,normalizedGain,startPercentile,finishPercentile,percentileDelta,status,statusRaw,points,lapsCompleted,lapsLed,pitStops,bestLapRank,averageSpeed,gapToLeader,teamName,teammateCount,bestTeammateFinish,deltaToBestTeammateFinish,teammateFinishRank,brycePenaltyCount,bryceIncidentCount,sessionPenaltyCount,sessionIncidentCount,totalLaps,greenLaps,cautionLaps,cautionShare,leadChanges,totalPasses,positionPasses,passesPerLap,leaderDominanceShare,leaderCount,weatherId,weatherConfidence,weatherSourceType,ambientTempC,apparentTempC,relativeHumidityPct,dewPointC,windSpeedKph,windGustKph,windDirectionDeg,precipitationMm,cloudCoverPct,wetDry,timeConfidence,locationConfidence,lapDataState,lapSamples,firstLapPosition,finalLapPosition,bestRunningPosition,worstRunningPosition,runningPositionRange,netLapChartGain,positionVolatility,positiveLapMoves,negativeLapMoves,largestLapGain,largestLapLoss,earlyDelta,middleDelta,lateDelta,thermalStress,windRisk,primaryStory,storyDrivers
session_indy_nxt_2024_6320,event_indy_nxt_2024_5476,2024,OUTFRONT Showdown,Race,,2024 OUTFRONT Showdown,2024-08-17T14:55:00,America/Chicago,track_world_wide_technology_raceway,World Wide Technology Raceway,oval,1.25,4,18,13.0,Qualifications,combined_or_direct,13,13,6,7,7.0,0.0,0.4117647058823529,0.2941176470588235,0.7222,0.42808235294117647,running,Running,28,75,,0,7.0,127.497,9.6889,Andretti Global,3,1,5,2,0,0,1,8,75,56,19,0.25333333333333335,0,76,75,1.3392857142857142,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6320,modeled_medium,grid_reanalysis,30.9,31.7,46,18.0,22.5,48.2,305,0.0,4,dry,exact_session_hour,track_coordinate,available,75.0,14.0,6.0,6.0,14.0,8.0,8.0,10.0,7.0,1.0,2.0,-1.0,5.0,0.0,3.0,hot,high,recovery_drive,gained_5_plus_positions|high_caution_share|high_wind_gust_context
session_indy_nxt_2024_6321,event_indy_nxt_2024_5477,2024,Grand Prix of Portland,Race,,2024 Grand Prix of Portland,2024-08-25T10:10:00,America/Los_Angeles,track_portland_international_raceway,Portland International Raceway,road,1.964,12,17,7.0,Combined Qualifications,combined_or_direct,6,6,3,3,4.0,1.0,0.1875,0.6875,0.8824,0.19489999999999996,running,Running,35,35,,0,8.0,106.656,1.2360,Andretti Global,3,2,1,2,0,0,4,2,35,33,2,0.05714285714285714,0,87,87,2.6363636363636362,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6321,modeled_medium,grid_reanalysis,18.2,18.3,69,12.5,4.5,16.2,14,0.0,17,dry,exact_session_hour,track_coordinate,available,35.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moderate,low,front_running_conversion,top_5_finish_with_positive_conversion
session_indy_nxt_2024_6322,event_indy_nxt_2024_5478,2024,INDY NXT By Firestone at The Milwaukee Mile,Race,,2024 INDY NXT By Firestone at The Milwaukee Mile,2024-08-31T14:50:00,America/Chicago,track_the_milwaukee_mile,The Milwaukee Mile,oval,1.015,4,18,7.0,Qualifications,combined_or_direct,7,7,4,3,3.0,0.0,0.17647058823529413,0.6470588235294117,0.8333,0.18624117647058835,running,Running,32,90,,0,2.0,133.057,5.9020,Andretti Global,3,1,3,2,0,0,2,4,90,87,3,0.03333333333333333,0,106,57,0.6551724137931034,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6322,modeled_medium,grid_reanalysis,28.6,29.0,41,14.2,13.4,29.5,264,0.0,2,dry,exact_session_hour,track_coordinate,available,90.0,7.0,4.0,4.0,7.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,hot,medium,front_running_conversion,top_5_finish_with_positive_conversion
session_indy_nxt_2024_6323,event_indy_nxt_2024_5479,2024,Music City Grand Prix,Race,,2024 Music City Grand Prix,2024-09-15T10:50:00,America/Chicago,track_nashville_superspeedway,Nashville Superspeedway,oval,1.33,4,18,,,unavailable,10,10,7,3,,,0.17647058823529413,0.47058823529411764,0.6667,0.19611176470588232,running,Running,26,65,,0,7.0,165.115,5.0025,Andretti Global,3,1,6,3,0,0,2,2,65,59,6,0.09230769230769231,0,159,98,1.6610169491525424,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2024_6323,modeled_medium,grid_reanalysis,27.6,28.6,54,17.5,14.6,37.1,128,0.0,25,dry,exact_session_hour,track_coordinate,available,65.0,11.0,7.0,6.0,13.0,7.0,4.0,10.0,7.0,2.0,1.0,-2.0,3.0,2.0,-1.0,moderate,medium,volatile_race_shape,high_lap_position_volatility
session_indy_nxt_2025_6446,event_indy_nxt_2025_5488,2025,Grand Prix of St. Petersburg,Race,,2025 Grand Prix of St. Petersburg,2025-03-02T10:00:00,America/New_York,track_streets_of_st_petersburg,Streets of St. Petersburg,street,1.8,14,21,10.0,Qualifications - Group 2,group_fallback,20,20,13,7,-3.0,-10.0,0.35,0.050000000000000044,0.4286,0.37859999999999994,running,Running,17,44,,0,15.0,83.696,8.9220,HMD Motorsports,8,3,10,5,0,0,1,8,44,34,10,0.22727272727272727,0,51,33,0.9705882352941176,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6446,modeled_medium,grid_reanalysis,18.7,18.9,83,15.8,12.3,26.3,339,0.0,0,dry,exact_session_hour,track_coordinate,available,44.0,16.0,13.0,13.0,16.0,3.0,3.0,5.0,4.0,1.0,1.0,-1.0,0.0,1.0,1.0,moderate,medium,recovery_drive,gained_5_plus_positions
session_indy_nxt_2025_6445,event_indy_nxt_2025_5487,2025,Grand Prix of Alabama,Race,,2025 Grand Prix of Alabama,2025-05-04T10:30:00,America/Chicago,track_barber_motorsports_park,Barber Motorsports Park,road,2.38,16,20,3.0,Combined Qualifications,combined_or_direct,6,6,15,-9,-12.0,-3.0,-0.47368421052631576,0.736842105263158,0.3,-0.436842105263158,running,Running,15,35,,0,15.0,102.323,33.3342,Chip Ganassi Racing,1,13,2,2,0,0,0,4,35,30,5,0.14285714285714285,0,81,69,2.3,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6445,modeled_medium,grid_reanalysis,16.9,16.0,58,8.7,13.5,32.4,279,0.0,20,dry,exact_session_hour,track_coordinate,available,35.0,8.0,15.0,8.0,17.0,9.0,-7.0,11.0,2.0,2.0,1.0,-8.0,-8.0,1.0,0.0,cool,medium,position_loss_race,lost_7_plus_positions
session_indy_nxt_2025_6444,event_indy_nxt_2025_5486,2025,Indianapolis Grand Prix Race 1,Race,1.0,2025 Indianapolis Grand Prix Race 1 R1,2025-05-09T19:00:00,America/Indiana/Indianapolis,track_indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2.439,14,21,18.0,Combined Qualifications - Race 1,combined_or_direct,18,18,15,3,3.0,0.0,0.15,0.15000000000000002,0.3333,0.18329999999999996,running,Running,15,35,,0,14.0,108.31,14.2252,Chip Ganassi Racing,1,18,-3,1,0,0,1,5,35,31,4,0.11428571428571428,0,130,128,4.129032258064516,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6444,modeled_medium,grid_reanalysis,17.2,14.6,44,4.9,9.0,22.0,30,0.0,14,dry,exact_session_hour,track_coordinate,available,35.0,16.0,15.0,12.0,16.0,4.0,1.0,11.0,5.0,2.0,2.0,-3.0,0.0,2.0,-1.0,cool,low,volatile_race_shape,high_lap_position_volatility|matched_or_led_teammate_finish
session_indy_nxt_2025_6443,event_indy_nxt_2025_5485,2025,Indianapolis Grand Prix Race 2,Race,2.0,2025 Indianapolis Grand Prix Race 2 R2,2025-05-10T13:00:00,America/Indiana/Indianapolis,track_indianapolis_motor_speedway_road_course,Indianapolis Motor Speedway Road Course,road,2.439,14,21,18.0,Combined Qualifications - Race 2,combined_or_direct,18,18,15,3,3.0,0.0,0.15,0.15000000000000002,0.3333,0.18329999999999996,running,Running,15,35,,0,10.0,109.333,42.1506,Chip Ganassi Racing,1,6,9,2,1,0,4,2,35,33,2,0.05714285714285714,1,137,127,3.8484848484848486,0.8571428571428571,2,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6443,modeled_medium,grid_reanalysis,20.2,21.1,40,6.3,3.6,15.5,9,0.0,10,dry,exact_session_hour,track_coordinate,available,35.0,20.0,15.0,15.0,20.0,5.0,5.0,11.0,6.0,1.0,3.0,-3.0,5.0,2.0,1.0,moderate,low,volatile_race_shape,high_lap_position_volatility
session_indy_nxt_2025_6455,event_indy_nxt_2025_5497,2025,Detroit Grand Prix,Race,,2025 Detroit Grand Prix,2025-06-01T10:30:00,America/Detroit,track_streets_of_detroit,Detroit Downtown Street Circuit,street,1.645,9,20,15.0,Combined Qualifications,combined_or_direct,15,15,10,5,5.0,0.0,0.2631578947368421,0.26315789473684215,0.55,0.2868421052631579,running,Running,20,44,,1,14.0,77.736,-,Chip Ganassi Racing,1,9,1,2,0,0,4,7,45,40,5,0.1111111111111111,0,62,21,0.525,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6455,modeled_medium,grid_reanalysis,16.1,13.2,34,0.0,12.3,33.1,301,0.0,1,dry,exact_session_hour,track_coordinate,available,44.0,11.0,10.0,9.0,12.0,3.0,1.0,9.0,5.0,3.0,1.0,-2.0,2.0,-3.0,2.0,cool,medium,recovery_drive,gained_5_plus_positions
session_indy_nxt_2025_6454,event_indy_nxt_2025_5496,2025,INDY NXT by Firestone at World Wide Technology Raceway,Race,,2025 INDY NXT by Firestone at World Wide Technology Raceway,2025-06-15T15:30:00,America/Chicago,track_world_wide_technology_raceway,World Wide Technology Raceway,oval,1.25,4,19,16.0,Qualifications,combined_or_direct,16,16,14,2,2.0,0.0,0.1111111111111111,0.16666666666666663,0.3158,0.1491333333333334,running,Running,16,74,,0,15.0,153.987,-,Chip Ganassi Racing,1,10,4,2,0,0,0,0,75,75,0,0.0,2,197,74,0.9866666666666667,0.7733333333333333,3,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6454,modeled_medium,grid_reanalysis,27.2,29.7,63,19.6,9.5,23.4,22,0.0,100,dry,exact_session_hour,track_coordinate,available,74.0,14.0,14.0,13.0,14.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,hot,low,steady_context_race,
session_indy_nxt_2025_6453,event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Race,,2025 Grand Prix at Road America,2025-06-22T10:00:00,America/Chicago,track_road_america,Road America,road,4.048,14,19,10.0,Combined Qualifications,combined_or_direct,10,10,9,1,1.0,0.0,0.05555555555555555,0.5,0.5789,0.07889999999999997,running,Running,22,20,,0,13.0,124.38,29.9938,Chip Ganassi Racing,1,15,-6,1,0,0,0,0,20,20,0,0.0,1,53,53,2.65,0.75,2,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6453,modeled_medium,grid_reanalysis,30.1,32.9,67,23.2,22.0,41.8,230,0.0,0,dry,exact_session_hour,track_coordinate,available,20.0,10.0,9.0,9.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,hot,medium,steady_context_race,matched_or_led_teammate_finish
session_indy_nxt_2025_6452,event_indy_nxt_2025_5494,2025,Grand Prix at Mid-Ohio,Race,,2025 Grand Prix at Mid-Ohio,2025-07-06T10:30:00,America/New_York,track_mid_ohio_sports_car_course,Mid-Ohio Sports Car Course,road,2.258,13,19,7.0,Combined Qualifications,combined_or_direct,7,7,12,-5,-5.0,0.0,-0.2777777777777778,0.6666666666666667,0.4211,-0.24556666666666677,running,Running,18,33,,1,13.0,104.066,21.5574,Chip Ganassi Racing,1,14,-2,1,0,0,2,3,33,31,2,0.06060606060606061,0,46,46,1.4838709677419355,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6452,modeled_medium,grid_reanalysis,28.2,30.8,63,20.4,14.7,31.0,200,0.0,0,dry,exact_session_hour,track_coordinate,available,33.0,9.0,12.0,9.0,12.0,3.0,-3.0,3.0,0.0,2.0,0.0,-2.0,-3.0,0.0,0.0,hot,medium,steady_context_race,matched_or_led_teammate_finish
session_indy_nxt_2025_6451,event_indy_nxt_2025_5493,2025,INDY NXT by Firestone at Iowa Speedway,Race,,2025 INDY NXT by Firestone at Iowa Speedway,2025-07-12T11:00:00,America/Chicago,track_iowa_speedway,Iowa Speedway,oval,0.894,4,19,,,unavailable,11,11,9,2,,,0.1111111111111111,0.4444444444444444,0.5789,0.13445555555555555,running,Running,22,75,,0,14.0,141.573,19.3763,Chip Ganassi Racing,1,5,4,2,0,0,1,3,75,65,10,0.13333333333333333,1,130,55,0.8461538461538461,0.8133333333333334,2,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6451,modeled_medium,grid_reanalysis,24.4,26.7,77,20.1,12.9,29.9,325,0.0,36,dry,exact_session_hour,track_coordinate,available,75.0,14.0,9.0,9.0,14.0,5.0,5.0,7.0,6.0,1.0,1.0,-1.0,3.0,2.0,0.0,moderate,medium,steady_context_race,
session_indy_nxt_2025_6442,event_indy_nxt_2025_5484,2025,Grand Prix of Monterey Race 1,Race,1.0,2025 Grand Prix of Monterey Race 1 R1,2025-07-26T13:30:00,America/Los_Angeles,track_weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2.238,11,19,14.0,Combined Qualifications,combined_or_direct,14,14,10,4,4.0,0.0,0.2222222222222222,0.2777777777777778,0.5263,0.2485222222222222,running,Running,20,35,,0,11.0,98.481,44.2105,Chip Ganassi Racing,1,11,-1,1,0,0,1,4,35,31,4,0.11428571428571428,0,84,68,2.193548387096774,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6442,modeled_medium,grid_reanalysis,17.5,16.9,65,10.8,15.9,38.9,276,0.0,100,dry,exact_session_hour,track_coordinate,available,35.0,9.0,10.0,7.0,10.0,3.0,-1.0,5.0,2.0,2.0,1.0,-2.0,0.0,0.0,-1.0,cool,medium,steady_context_race,matched_or_led_teammate_finish
session_indy_nxt_2025_6450,event_indy_nxt_2025_5492,2025,Grand Prix of Monterey Race 2,Race,2.0,2025 Grand Prix of Monterey Race 2 R2,2025-07-27T15:30:00,America/Los_Angeles,track_weathertech_raceway_laguna_seca,WeatherTech Raceway Laguna Seca,road,2.238,11,19,12.0,Combined Qualifications,combined_or_direct,12,12,19,-7,-7.0,0.0,-0.3888888888888889,0.38888888888888884,0.0526,-0.33628888888888886,contact,Contact,11,0,,0,,0.0,-,Chip Ganassi Racing,1,6,13,2,0,2,6,8,35,20,15,0.42857142857142855,0,56,38,1.9,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6450,modeled_medium,grid_reanalysis,17.5,16.7,65,10.8,16.3,39.6,275,0.0,25,dry,exact_session_hour,track_coordinate,unavailable,,,,,,,,,,,,,,,,cool,medium,incident_or_reliability_limited,status=Contact|high_caution_share
session_indy_nxt_2025_6449,event_indy_nxt_2025_5491,2025,Grand Prix of Portland,Race,,2025 Grand Prix of Portland,2025-08-10T10:00:00,America/Los_Angeles,track_portland_international_raceway,Portland International Raceway,road,1.964,12,19,5.0,Combined Qualifications,combined_or_direct,5,5,19,-14,-14.0,0.0,-0.7777777777777778,0.7777777777777778,0.0526,-0.7251777777777778,contact,Contact,11,0,,0,,0.0,-,Chip Ganassi Racing,1,6,13,2,0,2,0,2,35,32,3,0.08571428571428572,0,74,68,2.125,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6449,modeled_medium,grid_reanalysis,23.8,23.6,53,13.8,9.4,25.6,5,0.0,0,dry,exact_session_hour,track_coordinate,unavailable,,,,,,,,,,,,,,,,moderate,medium,incident_or_reliability_limited,status=Contact
session_indy_nxt_2025_6448,event_indy_nxt_2025_5490,2025,INDY NXT by Firestone at the Milwaukee Mile,Race,,2025 INDY NXT by Firestone at the Milwaukee Mile,2025-08-24T10:30:00,America/Chicago,track_the_milwaukee_mile,The Milwaukee Mile,oval,1.015,4,18,6.0,Qualifications,combined_or_direct,6,6,5,1,1.0,0.0,0.058823529411764705,0.7058823529411764,0.7778,0.07191764705882364,running,Running,30,90,,0,9.0,133.341,5.9508,Chip Ganassi Racing,1,12,-7,1,0,0,0,3,90,84,6,0.06666666666666667,0,110,66,0.7857142857142857,1.0,1,weather_indy_nxt_open_meteo_session_indy_nxt_2025_6448,modeled_medium,grid_reanalysis,19.6,17.7,58,11.2,18.2,41.4,293,0.0,22,dry,exact_session_hour,track_coordinate,available,90.0,7.0,5.0,5.0,9.0,4.0,2.0,6.0,4.0,2.0,1.0,-1.0,-2.0,4.0,0.0,cool,medium,front_running_conversion,top_5_finish_with_positive_conversion|matched_or_led_teammate_finish
