sessionId,raceLabel,lapDataState,lapSamples,firstLapPosition,finalLapPosition,bestRunningPosition,worstRunningPosition,runningPositionRange,netLapChartGain,positionVolatility,positiveLapMoves,negativeLapMoves,largestLapGain,largestLapLoss,earlyDelta,middleDelta,lateDelta
session_indy_nxt_2026_6765,2026 Indianapolis Grand Prix Race 2 R2,available,30.0,22.0,12.0,12.0,22.0,10.0,10.0,10.0,6.0,0.0,3.0,0.0,6.0,1.0,1.0
session_indy_nxt_2025_6451,2025 INDY NXT by Firestone at Iowa Speedway,available,75.0,14.0,9.0,9.0,14.0,5.0,5.0,7.0,6.0,1.0,1.0,-1.0,3.0,2.0,0.0
session_indy_nxt_2024_6324,2024 Grand Prix of St. Petersburg,available,31.0,7.0,6.0,6.0,8.0,2.0,1.0,3.0,2.0,1.0,1.0,-1.0,0.0,0.0,1.0
session_indy_nxt_2026_6756,2026 Indianapolis Grand Prix Race 1 R1,available,28.0,14.0,22.0,10.0,22.0,12.0,-8.0,24.0,4.0,4.0,3.0,-11.0,1.0,2.0,-10.0
session_indy_nxt_2025_6452,2025 Grand Prix at Mid-Ohio,available,33.0,9.0,12.0,9.0,12.0,3.0,-3.0,3.0,0.0,2.0,0.0,-2.0,-3.0,0.0,0.0
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,available,34.0,8.0,16.0,7.0,18.0,11.0,-8.0,14.0,3.0,1.0,1.0,-11.0,1.0,-11.0,2.0
session_indy_nxt_2026_6752,2026 Grand Prix of Alabama Race 2 R2,available,30.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
session_indy_nxt_2025_6455,2025 Detroit Grand Prix,available,44.0,11.0,10.0,9.0,12.0,3.0,1.0,9.0,5.0,3.0,1.0,-2.0,2.0,-3.0,2.0
session_indy_nxt_2026_6753,2026 Grand Prix of Arlington,available,15.0,20.0,18.0,18.0,21.0,3.0,2.0,6.0,3.0,2.0,2.0,-1.0,1.0,0.0,2.0
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,available,2.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
session_indy_nxt_2025_6453,2025 Grand Prix at Road America,available,20.0,10.0,9.0,9.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,available,34.0,12.0,14.0,12.0,19.0,7.0,-2.0,14.0,6.0,3.0,1.0,-5.0,-6.0,1.0,2.0
session_indy_nxt_2024_6319,2024 INDY NXT by Firestone at Iowa Speedway,available,55.0,9.0,8.0,8.0,11.0,3.0,1.0,7.0,3.0,3.0,2.0,-1.0,0.0,0.0,1.0
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,available,35.0,16.0,19.0,14.0,20.0,6.0,-3.0,9.0,3.0,1.0,1.0,-6.0,-4.0,0.0,1.0
session_indy_nxt_2024_6314,2024 Grand Prix of Alabama,available,35.0,7.0,8.0,5.0,8.0,3.0,-1.0,5.0,1.0,2.0,2.0,-2.0,2.0,0.0,-3.0
session_indy_nxt_2025_6447,2025 Music City Grand Prix,available,65.0,6.0,6.0,6.0,7.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0
session_indy_nxt_2025_6443,2025 Indianapolis Grand Prix Race 2 R2,available,35.0,20.0,15.0,15.0,20.0,5.0,5.0,11.0,6.0,1.0,3.0,-3.0,5.0,2.0,1.0
session_indy_nxt_2025_6454,2025 INDY NXT by Firestone at World Wide Technology Raceway,available,74.0,14.0,14.0,13.0,14.0,1.0,0.0,2.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0
session_indy_nxt_2025_6442,2025 Grand Prix of Monterey Race 1 R1,available,35.0,9.0,10.0,7.0,10.0,3.0,-1.0,5.0,2.0,2.0,1.0,-2.0,0.0,0.0,-1.0
session_indy_nxt_2024_6323,2024 Music City Grand Prix,available,65.0,11.0,7.0,6.0,13.0,7.0,4.0,10.0,7.0,2.0,1.0,-2.0,3.0,2.0,-1.0
session_indy_nxt_2025_6446,2025 Grand Prix of St. Petersburg,available,44.0,16.0,13.0,13.0,16.0,3.0,3.0,5.0,4.0,1.0,1.0,-1.0,0.0,1.0,1.0
session_indy_nxt_2024_6321,2024 Grand Prix of Portland,available,35.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
session_indy_nxt_2025_6445,2025 Grand Prix of Alabama,available,35.0,8.0,15.0,8.0,17.0,9.0,-7.0,11.0,2.0,2.0,1.0,-8.0,-8.0,1.0,0.0
session_indy_nxt_2025_6449,2025 Grand Prix of Portland,unavailable,,,,,,,,,,,,,,,
