sessionId,raceLabel,sectionName,sectionLengthMi,bryceRank,fieldRows,rankPercentile,time,speedMph,lapNumber,confidence,provenanceRefs
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SFP to PO,0.200284,4.0,9,0.625,00:21.0881,34.191,5,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SFPT to SFP,0.012405,3.0,8,0.7142857142857143,00:01.3020,34.3,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PIC to PI,0.186364,2.0,8,0.8571428571428572,00:09.3801,71.525,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,POB to POC,0.220549,5.0,8,0.4285714285714286,00:11.5560,68.707,5,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PI to PO,0.394602,6.0,8,0.2857142857142857,01:09.1477,20.544,5,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PO to SF,2.23911,6.0,21,0.75,01:23.9052,96.07,5,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SF to PI,2.2231,3.0,8,0.7142857142857143,01:16.5445,104.556,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PO to I2,0.307102,6.0,21,0.75,00:16.8880,65.465,5,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I7 to PI,0.338825,2.0,8,0.8571428571428572,00:16.9960,71.768,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,PO to PI,2.0232,5.0,8,0.4285714285714286,10:06.4361,12.01,4,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,SF to I3,0.847727,11.0,21,0.5,00:26.3278,115.916,8,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I3 to I6,0.841287,8.0,21,0.65,00:26.5140,114.228,9,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,I6 to SF,0.749998,4.0,21,0.85,00:23.6345,114.239,7,official,source_indy_nxt_2024_6315_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,Lap,4.014,7.0,21,0.7,01:53.8088,126.971,8,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,SF to I1B,0.235417,10.0,21,0.55,00:04.7115,179.879,18,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I1B to I1,0.041098,4.0,21,0.85,00:00.8077,183.178,6,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I1 to I2,0.221212,8.0,21,0.65,00:06.3548,125.317,8,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I2 to I3,0.158902,18.0,21,0.15000000000000002,00:04.2634,134.176,9,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I3 to I3A,0.257765,6.0,21,0.75,00:08.4496,109.822,9,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I3A to I4,0.191288,19.0,21,0.09999999999999998,00:04.3360,158.818,12,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I4 to I4A,0.173485,15.0,21,0.30000000000000004,00:03.5978,173.591,1,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I4A to I5,0.139583,17.0,21,0.19999999999999996,00:04.0492,124.098,14,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I5 to I6,0.139394,13.0,21,0.4,00:06.1966,80.983,7,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I6 to I7,0.190152,9.0,21,0.6,00:07.3031,93.734,9,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I7 to I8,0.254167,4.0,21,0.85,00:07.2036,127.02,9,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I8 to I9,0.14072,11.0,21,0.5,00:05.6578,89.539,8,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I9 to I10,0.222727,3.0,21,0.9,00:06.2333,128.634,19,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I10 to I11,0.285227,4.0,21,0.85,00:06.7798,151.452,19,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I11 to I11B,0.256629,6.0,21,0.75,00:05.4621,169.141,11,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I11B to I12,0.182765,15.0,21,0.30000000000000004,00:03.7560,175.174,13,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I12 to I13,0.281439,6.0,21,0.75,00:09.6029,105.508,5,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I13 to I13A,0.108523,2.0,21,0.95,00:02.8882,135.269,8,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I13A to I14,0.064205,1.0,21,1.0,00:01.8200,126.999,1,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I14 to I15C,0.201515,5.0,21,0.8,00:06.8358,106.126,1,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I15C to I15,0.08125,2.0,22,0.9523809523809523,00:01.9696,148.507,17,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I15 to SF,0.186364,5.0,21,0.8,00:04.0814,164.382,17,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,SF to I1,0.276515,9.0,21,0.6,00:05.5206,180.316,19,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I3 to I4,0.449053,8.0,21,0.65,00:12.8537,125.769,9,official,source_indy_nxt_2024_6316_top_section_times_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,I4 to I5,0.313068,16.0,21,0.25,00:07.6860,146.636,18,official,source_indy_nxt_2024_6316_top_section_times_pdf
