sessionId,raceLabel,lapNumber,position,flagState,provenanceRefs
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,21,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,22,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,23,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,24,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,25,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,26,16,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,27,15,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,28,15,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,29,15,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,30,15,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,31,14,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,32,14,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,33,14,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6315,2024 Indianapolis Grand Prix Race 1 R1,34,14,,source_indy_nxt_2024_6315_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,1,16,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,2,16,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,3,15,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,4,14,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,5,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,6,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,7,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,8,20,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,9,20,,source_indy_nxt_2024_6325_lap_chart_pdf
