sessionId,eventId,seriesId,seriesName,seasonYear,roundIndex,eventName,sessionName,sourceFamily,sourceTable,qualiRank,qualiFieldSize,role,linkageTier,linkedRaceSessionIds,bestLapTime,gapToPole,provenanceRefs,sourceHash
session_gb3_2021_213605_qualifying,event_gb3_2021_r6_oulton_park,series_gb3,GB3 Championship,2021,6,GB3 2021 Round 6 - Oulton Park,Qualifying,official_qualifying,qualifyingResults,15,17,grid_setting,grid_confirmed,session_gb3_2021_213605_race_1_result;session_gb3_2021_213605_race_2_result,1:32.648,1.633,source_gb3_2021_213605_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_213605_qualifying_2nd_fastest,event_gb3_2021_r6_oulton_park,series_gb3,GB3 Championship,2021,6,GB3 2021 Round 6 - Oulton Park,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,15,17,secondary,secondary,,1:32.683,1.510,source_gb3_2021_213605_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_214105_qualifying,event_gb3_2021_r7_donington_park,series_gb3,GB3 Championship,2021,7,GB3 2021 Round 7 - Donington Park,Qualifying,official_qualifying,qualifyingResults,12,21,grid_setting,grid_confirmed,session_gb3_2021_214105_race_1_result,1:24.845,0.669,source_gb3_2021_214105_qu1_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2021_214105_qualifying_2nd_fastest,event_gb3_2021_r7_donington_park,series_gb3,GB3 Championship,2021,7,GB3 2021 Round 7 - Donington Park,Qualifying 2nd Fastest,official_qualifying,qualifyingResults,13,21,secondary,secondary,session_gb3_2021_214105_race_2_result,1:24.973,0.734,source_gb3_2021_214105_qu2_bf3_pdf,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1113,event_gb3_2022_r1_oulton_park,series_gb3,GB3 Championship,2022,1,GB3 2022 Round 1 - Oulton Park,Qualifying,qualifying_session_result,results.qualifying_session,21,21,grid_setting,unconfirmed_no_grid,,01:34:365,5.436,source_gb3_2022_session_1113,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1196,event_gb3_2022_r2_silverstone,series_gb3,GB3 Championship,2022,2,GB3 2022 Round 2 - Silverstone,Qualifying,qualifying_session_result,results.qualifying_session,15,20,grid_setting,unconfirmed_no_grid,,01:54:532,1.446,source_gb3_2022_session_1196,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1243,event_gb3_2022_r3_donington_park,series_gb3,GB3 Championship,2022,3,GB3 2022 Round 3 - Donington Park,Qualifying,qualifying_session_result,results.qualifying_session,21,22,grid_setting,unconfirmed_no_grid,,01:24:199,1.454,source_gb3_2022_session_1243,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1298,event_gb3_2022_r4_snetterton,series_gb3,GB3 Championship,2022,4,GB3 2022 Round 4 - Snetterton,Qualifying,qualifying_session_result,results.qualifying_session,15,22,grid_setting,unconfirmed_no_grid,,01:42:493,1.051,source_gb3_2022_session_1298,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1360,event_gb3_2022_r5_spa,series_gb3,GB3 Championship,2022,5,GB3 2022 Round 5 - Spa,Qualifying,qualifying_session_result,results.qualifying_session,5,22,grid_setting,unconfirmed_no_grid,,02:16:313,0.686,source_gb3_2022_session_1360,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
session_gb3_2022_1471,event_gb3_2022_r7_brands_hatch,series_gb3,GB3 Championship,2022,7,GB3 2022 Round 7 - Brands Hatch,Qualifying,qualifying_session_result,results.qualifying_session,9,22,grid_setting,unconfirmed_no_grid,,01:19:316,0.595,source_gb3_2022_session_1471,61e7c0e8ca2682cb606c7604b26f433daf6d95c358be5879e2fdbc06135604fd
