raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_euroformula_2023_06-monza-race-1,session_euroformula_2023_06-monza-qualifying,series_euroformula_open,Euroformula Open,2023,6,Euroformula Open 2023 Round 6 - Monza,Race 1,1,official_qualifying,qualifyingResults,4,7,4,4,7,7,grid_confirmed,behind,-3,-3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6324,session_indy_nxt_2024_6536,series_indy_nxt,INDY NXT,2024,1,Grand Prix of St. Petersburg,Race,,official_qualifying,qualifyingResults,8,21,8,8,19,21,grid_confirmed,behind,-11,-11,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6314,session_indy_nxt_2024_6537,series_indy_nxt,INDY NXT,2024,2,Grand Prix of Alabama,Race,,official_qualifying,qualifyingResults,7,20,7,7,8,21,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6315,session_indy_nxt_2024_6538,series_indy_nxt,INDY NXT,2024,3,Indianapolis Grand Prix Race 1,Race,1,official_qualifying,qualifyingResults,11,20,11,11,14,21,grid_confirmed,behind,-3,-3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_froc_2024_r4_race_1,session_froc_2024_r4_qualifying_1,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,4,FROC 2024 Round 4 - Euromarque Motorsport Park,Race 1,10,qualifying_session_result,results.qualifying_session,7,15,7,7,9,15,grid_confirmed,behind,-2,-2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_froc_2024_r4_race_3,session_froc_2024_r4_qualifying_2,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,4,FROC 2024 Round 4 - Euromarque Motorsport Park,Race 3,12,qualifying_session_result,results.qualifying_session,3,16,3,3,4,15,grid_confirmed,behind,-1,-1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6325,session_indy_nxt_2024_6539,series_indy_nxt,INDY NXT,2024,4,Indianapolis Grand Prix Race 2,Race,2,official_qualifying,qualifyingResults,11,20,11,11,19,21,grid_confirmed,behind,-8,-8,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_froc_2024_r5_race_1,session_froc_2024_r5_qualifying_1,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Race 1,13,qualifying_session_result,results.qualifying_session,8,18,8,8,7,17,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_froc_2024_r5_race_3,session_froc_2024_r5_qualifying_3,series_froc,Castrol Toyota Formula Regional Oceania Championship,2024,5,FROC 2024 Round 5 - Highlands Motorsport Park,Race 3,15,qualifying_session_result,results.qualifying_session,6,8,6,6,6,17,grid_confirmed,held,0,0,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6326,session_indy_nxt_2024_6540,series_indy_nxt,INDY NXT,2024,5,Detroit Grand Prix,Race,,official_qualifying,qualifyingResults,11,20,11,11,20,21,grid_confirmed,behind,-9,-9,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
